page,statement,row_label,actuals_2019_20_revenue,actuals_2019_20_capital,actuals_2019_20_total,BE_2020_21_revenue,BE_2020_21_capital,BE_2020_21_total,RE_2020_21_revenue,RE_2020_21_capital,RE_2020_21_total,BE_2021_22_revenue,BE_2021_22_capital,BE_2021_22_total
7,Statement 1,1.   Central Expenditure (2+3+4),1722974.15,331386.43,2054360.58,1926707.51,402276.51,2328984.02,2264992.42,423905.33,2688897.75,2132609.02,539994.89,2672603.91
7,Statement 1,2.   Establishment,563789.75,6453.85,570243.6,602276.49,7308.3,609584.79,592060.57,6611.22,598671.79,600756.99,8257.12,609014.11
7,Statement 1,3.   Central Sector Schemes,446085.68,311005.45,757091.13,497024.69,334800.37,831825.06,870612.58,393077.23,1263689.81,607968.41,443735.0,1051703.41
7,Statement 1,4.   Other Central Expenditure,713098.72,13927.13,727025.85,827406.33,60167.84,887574.17,802319.27,24216.88,826536.15,923883.62,88002.77,1011886.39
7,Statement 1,5.   Transfers (6+7+8),627630.18,4339.19,631969.37,703437.65,9808.42,713246.07,746149.85,15257.67,761407.52,796390.87,14240.85,810631.72
7,Statement 1,6.   Centrally Sponsored Schemes,309522.78,29.9,309552.68,339838.77,55.76,339894.53,387834.08,65.72,387899.8,381235.45,69.1,381304.55
7,Statement 1,7.   Finance Commission Transfers,123709.87,,123709.87,149924.8,,149924.8,182352.43,,182352.43,220843.0,,220843.0
7,Statement 1,8.   Other Transfers,194397.53,4309.29,198706.82,213674.08,9752.66,223426.74,175963.34,15191.95,191155.29,194312.42,14171.75,208484.17
7,Statement 1,9.   Total Expenditure through Budget (1+5),2350604.33,335725.62,2686329.95,2630145.16,412084.93,3042230.09,3011142.27,439163.0,3450305.27,2928999.89,554235.74,3483235.63
7,Statement 1,10.   Resources of Public Enterprises,,641554.21,641554.21,,672663.38,672663.38,,645488.38,645488.38,,582831.13,582831.13
7,Statement 1,11.   Total Expenditure through Budget and Resources,2350604.33,977279.83,3327884.16,2630145.16,1084748.31,3714893.47,3011142.27,1084651.38,4095793.65,2928999.89,1137066.87,4066066.76
10,Statement 3,"1. Department of Agriculture, Cooperation and Farmers' Welfare",94237.97,13.65,94251.62,134349.45,50.32,134399.77,116698.58,59.34,116757.92,122961.57,56.0,123017.57
10,Statement 3,1. Central Sector Schemes/Projects,81342.71,,81342.71,116490.0,,116490.0,103162.3,,103162.3,105018.81,,105018.81
10,Statement 3,2.   Centrally Sponsored Schemes,12321.46,13.65,12335.11,17269.45,50.32,17319.77,12977.36,59.34,13036.7,17352.19,56.0,17408.19
10,Statement 3,3.   Establishment Expenditure of the Centre,498.87,,498.87,556.07,,556.07,526.99,,526.99,557.47,,557.47
10,Statement 3,4.   Other Central Sector Expenditure,74.93,,74.93,33.93,,33.93,31.93,,31.93,33.1,,33.1
10,Statement 3,2. Department of Agricultural Research and Education,7523.37,,7523.37,8362.58,,8362.58,7762.38,,7762.38,8513.62,,8513.62
10,Statement 3,1. Central Sector Schemes/Projects,2488.61,,2488.61,2729.0,,2729.0,2305.0,,2305.0,2686.0,,2686.0
10,Statement 3,2.   Establishment Expenditure of the Centre,12.2,,12.2,13.85,,13.85,13.11,,13.11,14.05,,14.05
10,Statement 3,3.   Other Central Sector Expenditure,5022.56,,5022.56,5619.73,,5619.73,5444.27,,5444.27,5813.57,,5813.57
10,Statement 3,3. Atomic Energy,11729.2,8075.49,19804.69,8884.44,9344.5,18228.94,8312.62,5962.34,14274.96,8389.12,9875.77,18264.89
10,Statement 3,1. Central Sector Schemes/Projects,2927.57,5102.53,8030.1,821.05,5465.32,6286.37,686.76,3619.04,4305.8,452.47,6224.37,6676.84
10,Statement 3,2.   Establishment Expenditure of the Centre,6021.16,-122.04,5899.12,5189.42,-57.82,5131.6,5039.75,-426.7,4613.05,4890.35,-28.6,4861.75
10,Statement 3,3.   Other Central Sector Expenditure,2780.47,3095.0,5875.47,2873.97,3937.0,6810.97,2586.11,2770.0,5356.11,3046.3,3680.0,6726.3
10,Statement 3,"4. Ministry of Ayurveda, Yoga and Naturopathy, Unani, Siddha",1784.16,,1784.16,2122.08,,2122.08,2322.08,,2322.08,2970.3,,2970.3
10,Statement 3,1. Central Sector Schemes/Projects,95.03,,95.03,136.0,,136.0,121.9,,121.9,298.67,,298.67
10,Statement 3,2.   Centrally Sponsored Schemes,495.48,,495.48,705.0,,705.0,400.0,,400.0,553.8,,553.8
10,Statement 3,3.   Establishment Expenditure of the Centre,101.04,,101.04,110.5,,110.5,99.44,,99.44,118.75,,118.75
10,Statement 3,4.   Other Central Sector Expenditure,1092.61,,1092.61,1170.58,,1170.58,1700.74,,1700.74,1999.08,,1999.08
