page,statement,row_label,actuals_2019_20_revenue,actuals_2019_20_capital,actuals_2019_20_total,BE_2020_21_revenue,BE_2020_21_capital,BE_2020_21_total,RE_2020_21_revenue,RE_2020_21_capital,RE_2020_21_total,BE_2021_22_revenue,BE_2021_22_capital,BE_2021_22_total
10,Statement 3,5. Department of Chemicals and Petrochemicals,365.12,,365.12,218.34,,218.34,222.0,73.7,295.7,229.64,3.5,233.14
10,Statement 3,1. Central Sector Schemes/Projects,234.58,,234.58,57.3,,57.3,25.65,,25.65,56.73,,56.73
10,Statement 3,2.   Establishment Expenditure of the Centre,17.43,,17.43,19.99,,19.99,18.12,,18.12,20.97,,20.97
10,Statement 3,3.   Other Central Sector Expenditure,113.11,,113.11,141.05,,141.05,178.23,,178.23,151.94,,151.94
10,Statement 3,4.   Other Grants/Loans/Transfers,,,,,,,,73.7,73.7,,3.5,3.5
10,Statement 3,6. Department of Fertilisers,81144.25,,81144.25,71344.95,0.05,71345.0,133979.46,813.24,134792.7,79566.77,444.62,80011.39
10,Statement 3,1. Central Sector Schemes/Projects,81124.33,,81124.33,71309.0,,71309.0,133947.3,,133947.3,79529.68,,79529.68
10,Statement 3,2.   Establishment Expenditure of the Centre,32.75,,32.75,35.94,,35.94,32.16,,32.16,37.08,,37.08
10,Statement 3,3.   Other Central Sector Expenditure,-12.83,,-12.83,0.01,0.05,0.06,,813.24,813.24,0.01,444.62,444.63
10,Statement 3,7. Department of Pharmaceuticals,220.36,333.15,553.51,326.4,7.18,333.58,463.23,7.18,470.41,461.29,9.12,470.41
11,Statement 3,1.   Central Sector Schemes/Projects,202.81,,202.81,281.0,,281.0,408.33,,408.33,410.76,,410.76
11,Statement 3,2.   Establishment Expenditure of the Centre,24.3,,24.3,27.4,,27.4,27.35,,27.35,31.53,,31.53
11,Statement 3,3.   Other Central Sector Expenditure,,333.15,333.15,18.0,7.18,25.18,27.55,7.18,34.73,19.0,9.12,28.12
11,Statement 3,4.   Other Grants/Loans/Transfers,-6.75,,-6.75,,,,,,,,,
11,Statement 3,8. Ministry of Civil Aviation,3625.36,21.36,3646.72,3771.74,25.97,3797.71,4077.66,53.97,4131.63,3184.15,40.52,3224.67
11,Statement 3,1. Central Sector Schemes/Projects,3329.21,0.01,3329.22,3480.41,0.01,3480.42,3725.46,0.01,3725.47,2869.0,,2869.0
11,Statement 3,2.   Establishment Expenditure of the Centre,276.8,21.35,298.15,274.51,25.95,300.46,284.71,53.95,338.66,284.64,40.51,325.15
11,Statement 3,3.   Other Central Sector Expenditure,19.35,,19.35,16.82,0.01,16.83,67.49,0.01,67.5,30.51,0.01,30.52
11,Statement 3,9. Ministry of Coal,822.99,,822.99,882.61,,882.61,627.58,,627.58,534.88,,534.88
11,Statement 3,1. Central Sector Schemes/Projects,762.82,,762.82,819.98,,819.98,553.73,,553.73,419.98,,419.98
11,Statement 3,2.   Establishment Expenditure of the Centre,37.27,,37.27,40.28,,40.28,51.5,,51.5,61.7,,61.7
11,Statement 3,3.   Other Central Sector Expenditure,22.9,,22.9,22.35,,22.35,22.35,,22.35,53.2,,53.2
11,Statement 3,10. Department of Commerce,6019.51,862.43,6881.94,5532.32,687.0,6219.32,4173.0,427.0,4600.0,4699.01,287.0,4986.01
11,Statement 3,1. Central Sector Schemes/Projects,5176.17,800.0,5976.17,4656.0,650.0,5306.0,3331.69,390.0,3721.69,3887.02,260.0,4147.02
11,Statement 3,2.   Establishment Expenditure of the Centre,787.91,75.0,862.91,784.0,37.0,821.0,766.0,37.0,803.0,741.65,27.0,768.65
11,Statement 3,3.   Other Central Sector Expenditure,55.43,-12.57,42.86,92.32,,92.32,75.31,,75.31,70.34,,70.34
11,Statement 3,11. Department for Promotion of Industry and Internal Trade,5297.31,1106.89,6404.2,5136.55,1469.0,6605.55,6785.66,797.4,7583.06,6570.66,1211.58,7782.24
11,Statement 3,1. Central Sector Schemes/Projects,4747.6,1085.72,5833.32,4325.01,1402.38,5727.39,6265.01,777.4,7042.41,5960.44,1201.58,7162.02
11,Statement 3,2.   Establishment Expenditure of the Centre,387.11,21.17,408.28,488.37,66.62,554.99,379.11,20.0,399.11,415.82,10.0,425.82
11,Statement 3,3.   Other Central Sector Expenditure,162.6,,162.6,323.17,,323.17,141.54,,141.54,194.4,,194.4
11,Statement 3,12. Department of Posts,14813.13,730.56,15543.69,14394.17,1131.21,15525.38,19089.12,861.71,19950.83,15618.13,910.09,16528.22
11,Statement 3,1. Central Sector Schemes/Projects,138.62,725.66,864.28,476.02,1116.21,1592.23,367.97,847.18,1215.15,358.88,895.09,1253.97
11,Statement 3,2.   Establishment Expenditure of the Centre,14674.51,4.9,14679.41,13918.15,15.0,13933.15,18721.15,14.53,18735.68,15259.25,15.0,15274.25
11,Statement 3,13. Department of Telecommunications,23465.94,4929.49,28395.43,40756.63,25675.06,66431.69,36748.88,4359.92,41108.8,32803.44,25933.56,58737.0
11,Statement 3,1. Central Sector Schemes/Projects,2987.1,4824.49,7811.59,8119.44,5160.06,13279.5,7265.99,4141.92,11407.91,9098.02,5333.56,14431.58
11,Statement 3,2.   Establishment Expenditure of the Centre,14204.45,,14204.45,14751.77,,14751.77,15308.92,113.0,15421.92,16262.5,110.0,16372.5
11,Statement 3,3.   Other Central Sector Expenditure,6274.39,105.0,6379.39,17885.42,20515.0,38400.42,14173.97,105.0,14278.97,7442.92,20490.0,27932.92
11,Statement 3,14. Department of Consumer Affairs,1909.83,13.43,1923.26,2244.6,55.4,2300.0,12003.72,34.19,12037.91,2928.05,46.05,2974.1
11,Statement 3,1. Central Sector Schemes/Projects,1813.56,13.43,1826.99,2139.6,55.4,2195.0,11907.46,34.19,11941.65,2824.45,46.05,2870.5
11,Statement 3,2.   Establishment Expenditure of the Centre,96.27,,96.27,105.0,,105.0,96.26,,96.26,103.6,,103.6
12,Statement 3,15. Department of Food and Public Distribution,113929.41,1243.11,115172.52,121038.41,1197.02,122235.43,437458.0,1190.72,438648.72,251248.34,2725.96,253974.3
12,Statement 3,1. Central Sector Schemes/Projects,113814.47,237.59,114052.06,120887.92,190.0,121077.92,437326.56,186.4,437512.96,251045.96,220.21,251266.17
12,Statement 3,2.   Centrally Sponsored Schemes,,,,20.0,,20.0,9.0,,9.0,70.0,,70.0
12,Statement 3,3.   Establishment Expenditure of the Centre,101.54,5.52,107.06,114.13,7.02,121.15,110.9,4.32,115.22,117.55,5.75,123.3
12,Statement 3,4.   Other Central Sector Expenditure,13.4,1000.0,1013.4,16.36,1000.0,1016.36,11.54,1000.0,1011.54,14.83,2500.0,2514.83
12,Statement 3,16. Ministry of Corporate Affairs,550.6,12.45,563.05,675.62,52.0,727.62,644.78,35.22,680.0,661.13,51.0,712.13
12,Statement 3,1. Central Sector Schemes/Projects,6.75,0.18,6.93,10.5,1.0,11.5,6.5,0.22,6.72,10.5,1.0,11.5
12,Statement 3,2.   Establishment Expenditure of the Centre,458.58,,458.58,554.52,,554.52,558.51,,558.51,565.63,,565.63
12,Statement 3,3.   Other Central Sector Expenditure,85.27,12.27,97.54,110.6,51.0,161.6,79.77,35.0,114.77,85.0,50.0,135.0
12,Statement 3,17. Ministry of Culture,2428.92,65.9,2494.82,3057.57,92.29,3149.86,2183.45,28.4,2211.85,2609.23,78.76,2687.99
12,Statement 3,1. Central Sector Schemes/Projects,357.33,44.63,401.96,576.32,2.0,578.32,392.78,,392.78,454.2,1.0,455.2
12,Statement 3,2.   Establishment Expenditure of the Centre,1222.72,21.27,1243.99,1469.43,90.29,1559.72,1081.09,28.4,1109.49,1271.9,77.76,1349.66
12,Statement 3,3.   Other Central Sector Expenditure,848.87,,848.87,1011.82,,1011.82,709.58,,709.58,883.13,,883.13
12,Statement 3,18. Ministry of Defence (Civil),11574.96,4946.66,16521.62,9679.0,4821.0,14500.0,10294.06,5620.0,15914.06,10083.93,5173.41,15257.34
12,Statement 3,1. Central Sector Schemes/Projects,781.93,2348.15,3130.08,750.0,2300.0,3050.0,1150.0,3100.0,4250.0,850.0,2500.0,3350.0
12,Statement 3,2.   Establishment Expenditure of the Centre,9211.34,2582.71,11794.05,8978.83,2500.0,11478.83,9196.06,2500.0,11696.06,9281.93,2650.0,11931.93
12,Statement 3,3.   Other Central Sector Expenditure,1581.69,15.8,1597.49,-49.83,21.0,-28.83,-52.0,20.0,-32.0,-48.0,23.41,-24.59
12,Statement 3,19. Defence Services (Revenue),207572.15,,207572.15,209319.0,,209319.0,209312.0,,209312.0,212027.56,,212027.56
12,Statement 3,1. Establishment Expenditure of the Centre,207572.15,,207572.15,209319.0,,209319.0,209312.0,,209312.0,212027.56,,212027.56
12,Statement 3,20. Capital Outlay on Defence Services,,111092.43,111092.43,,113734.0,113734.0,,134510.0,134510.0,,135060.72,135060.72
12,Statement 3,1. Central Sector Schemes/Projects,,111092.43,111092.43,,113734.0,113734.0,,134510.0,134510.0,,135060.72,135060.72
12,Statement 3,21. Defence Pensions,117810.24,,117810.24,133825.0,,133825.0,125000.0,,125000.0,115850.0,,115850.0
12,Statement 3,1. Establishment Expenditure of the Centre,117810.24,,117810.24,133825.0,,133825.0,125000.0,,125000.0,115850.0,,115850.0
12,Statement 3,22. Ministry of Development of North Eastern Region,2012.17,645.7,2657.87,2330.14,718.59,3048.73,1537.65,322.35,1860.0,2031.51,626.49,2658.0
12,Statement 3,1. Central Sector Schemes/Projects,1996.55,639.6,2636.15,2313.06,714.59,3027.65,1520.93,318.35,1839.28,2015.0,622.49,2637.49
12,Statement 3,2.   Establishment Expenditure of the Centre,15.62,,15.62,17.08,,17.08,16.72,,16.72,16.51,,16.51
12,Statement 3,3.   Other Central Sector Expenditure,,6.1,6.1,,4.0,4.0,,4.0,4.0,,4.0,4.0
12,Statement 3,23. Ministry of Earth Sciences,1606.66,105.21,1711.87,1898.0,172.0,2070.0,1225.1,74.9,1300.0,1734.13,163.0,1897.13
12,Statement 3,1. Central Sector Schemes/Projects,949.4,105.21,1054.61,1165.0,172.0,1337.0,575.5,74.9,650.4,1018.17,163.0,1181.17
12,Statement 3,2.   Establishment Expenditure of the Centre,491.98,,491.98,531.2,,531.2,466.36,,466.36,517.96,,517.96
13,Statement 3,3.   Other Central Sector Expenditure,165.28,,165.28,201.8,,201.8,183.24,,183.24,198.0,,198.0
13,Statement 3,24. Department of School Education and Literacy,52520.19,,52520.19,59845.0,,59845.0,52189.07,,52189.07,54873.66,,54873.66
13,Statement 3,1. Central Sector Schemes/Projects,340.97,,340.97,519.5,,519.5,354.0,,354.0,363.5,,363.5
13,Statement 3,2.   Centrally Sponsored Schemes,42146.45,,42146.45,50080.5,,50080.5,41399.58,,41399.58,43285.16,,43285.16
13,Statement 3,3.   Establishment Expenditure of the Centre,28.87,,28.87,40.0,,40.0,40.0,,40.0,33.0,,33.0
13,Statement 3,4.   Other Central Sector Expenditure,10076.95,,10076.95,9205.0,,9205.0,10395.49,,10395.49,11192.0,,11192.0
13,Statement 3,5.   Other Grants/Loans/Transfers,-73.05,,-73.05,,,,,,,,,
13,Statement 3,25. Department of Higher Education,34811.38,2104.99,36916.37,37239.52,2227.0,39466.52,32671.0,229.0,32900.0,38325.15,25.5,38350.65
13,Statement 3,1. Central Sector Schemes/Projects,4451.9,2100.0,6551.9,6206.9,2200.0,8406.9,4029.61,200.0,4229.61,6068.43,1.0,6069.43
13,Statement 3,2.   Centrally Sponsored Schemes,1257.56,,1257.56,300.0,,300.0,166.0,,166.0,3000.0,,3000.0
13,Statement 3,3.   Establishment Expenditure of the Centre,163.83,4.99,168.82,231.26,27.0,258.26,213.74,29.0,242.74,222.94,24.5,247.44
13,Statement 3,4.   Other Central Sector Expenditure,27138.09,,27138.09,28601.36,,28601.36,27913.14,,27913.14,29023.78,,29023.78
13,Statement 3,5.   Other Grants/Loans/Transfers,1800.0,,1800.0,1900.0,,1900.0,348.51,,348.51,10.0,,10.0
13,Statement 3,26. Ministry of Electronics and Information Technology,5385.37,266.6,5651.97,6524.03,375.0,6899.03,5197.0,353.0,5550.0,9274.66,446.0,9720.66
13,Statement 3,1. Central Sector Schemes/Projects,3120.75,70.34,3191.09,3898.0,60.0,3958.0,2984.82,60.0,3044.82,6776.33,30.0,6806.33
13,Statement 3,2.   Establishment Expenditure of the Centre,1314.92,196.26,1511.18,1360.03,315.0,1675.03,1318.18,293.0,1611.18,1438.33,416.0,1854.33
13,Statement 3,3.   Other Central Sector Expenditure,949.7,,949.7,1266.0,,1266.0,894.0,,894.0,1060.0,,1060.0
13,Statement 3,"27. Ministry of Environment, Forests and Climate Change",2500.06,37.65,2537.71,2942.45,157.55,3100.0,1970.73,44.27,2015.0,2747.45,122.48,2869.93
13,Statement 3,1. Central Sector Schemes/Projects,811.78,,811.78,1017.23,,1017.23,584.09,,584.09,993.13,,993.13
13,Statement 3,2.   Centrally Sponsored Schemes,768.35,,768.35,926.0,,926.0,556.0,,556.0,766.0,,766.0
13,Statement 3,3.   Establishment Expenditure of the Centre,483.69,37.65,521.34,513.72,157.55,671.27,432.79,44.27,477.06,511.82,122.48,634.3
13,Statement 3,4.   Other Central Sector Expenditure,436.24,,436.24,485.5,,485.5,397.85,,397.85,476.5,,476.5
13,Statement 3,28. Ministry of External Affairs,16040.7,1204.84,17245.54,16014.43,1332.28,17346.71,13744.1,1255.9,15000.0,16663.98,1490.75,18154.73
13,Statement 3,1. Central Sector Schemes/Projects,6586.49,802.67,7389.16,6617.37,832.28,7449.65,5145.26,610.9,5756.16,6754.4,880.75,7635.15
13,Statement 3,2.   Establishment Expenditure of the Centre,5054.99,403.2,5458.19,5008.81,500.0,5508.81,4502.46,645.0,5147.46,5247.69,610.0,5857.69
13,Statement 3,3.   Other Central Sector Expenditure,4399.22,-1.03,4398.19,4388.25,,4388.25,4096.38,,4096.38,4661.89,,4661.89
13,Statement 3,29. Department of Economic Affairs,2993.28,7285.12,10278.4,3262.57,26045.7,29308.27,5738.6,17942.79,23681.39,4520.78,56607.4,61128.18
13,Statement 3,1. Central Sector Schemes/Projects,1187.35,2000.0,3187.35,1013.95,530.01,1543.96,2659.08,4760.01,7419.09,2244.01,5010.01,7254.02
13,Statement 3,2.   Establishment Expenditure of the Centre,180.85,,180.85,304.48,,304.48,174.45,,174.45,196.06,,196.06
14,Statement 3,3.   Other Central Sector Expenditure,1625.08,5285.12,6910.2,1944.14,25515.69,27459.83,2905.07,13182.78,16087.85,2080.71,51597.39,53678.1
14,Statement 3,30. Department of Expenditure,413.71,,413.71,535.55,,535.55,406.14,,406.14,454.74,,454.74
14,Statement 3,1. Central Sector Schemes/Projects,234.41,,234.41,,,,,,,,,
14,Statement 3,2.   Establishment Expenditure of the Centre,165.32,,165.32,516.34,,516.34,393.53,,393.53,432.92,,432.92
14,Statement 3,3.   Other Central Sector Expenditure,13.98,,13.98,19.21,,19.21,12.61,,12.61,21.82,,21.82
14,Statement 3,31. Department of Financial Services,824.31,6350.48,7174.79,1474.96,9650.04,11125.0,12055.57,13650.01,25705.58,3710.77,25800.02,29510.79
14,Statement 3,1. Central Sector Schemes/Projects,606.28,6350.48,6956.76,1240.0,9650.04,10890.04,11843.67,13650.01,25493.68,3498.9,25800.02,29298.92
14,Statement 3,2.   Establishment Expenditure of the Centre,194.23,,194.23,226.07,,226.07,211.9,,211.9,211.87,,211.87
14,Statement 3,3.   Other Central Sector Expenditure,23.8,,23.8,8.89,,8.89,,,,,,
14,Statement 3,32. Department of Investment and Public Asset Management,105.08,,105.08,132.11,,132.11,92.49,,92.49,110.52,,110.52
14,Statement 3,1. Establishment Expenditure of the Centre,105.08,,105.08,132.11,,132.11,92.49,,92.49,110.52,,110.52
14,Statement 3,33. Department of Revenue,154648.75,0.49,154649.24,136549.12,91.21,136640.33,132439.84,14.24,132454.08,101222.36,13.02,101235.38
14,Statement 3,1. Establishment Expenditure of the Centre,631.79,,631.79,735.07,,735.07,715.59,,715.59,804.31,,804.31
14,Statement 3,2.   Other Central Sector Expenditure,106.67,0.49,107.16,446.0,91.21,537.21,349.25,14.24,363.49,418.02,13.02,431.04
14,Statement 3,3.   Other Grants/Loans/Transfers,153910.29,,153910.29,135368.05,,135368.05,131375.0,,131375.0,100000.03,,100000.03
14,Statement 3,34. Direct Taxes,6952.29,198.68,7150.97,7733.39,330.0,8063.39,7492.0,200.0,7692.0,8180.34,350.0,8530.34
14,Statement 3,1. Establishment Expenditure of the Centre,6952.29,226.57,7178.86,7733.39,330.0,8063.39,7492.0,200.0,7692.0,8180.34,350.0,8530.34
14,Statement 3,2.   Other Central Sector Expenditure,,-27.89,-27.89,,,,,,,,,
14,Statement 3,35. Indirect Taxes,7255.66,275.45,7531.11,7820.0,438.0,8258.0,7303.97,278.0,7581.97,20882.77,452.0,21334.77
14,Statement 3,1. Establishment Expenditure of the Centre,7255.66,275.45,7531.11,7820.0,438.0,8258.0,7303.97,278.0,7581.97,20882.77,452.0,21334.77
14,Statement 3,36. Indian Audit and Accounts Department,4795.15,10.87,4806.02,5036.73,18.0,5054.73,4725.43,18.0,4743.43,5067.19,24.95,5092.14
14,Statement 3,1. Establishment Expenditure of the Centre,4795.15,10.87,4806.02,5036.73,18.0,5054.73,4725.43,18.0,4743.43,5067.19,24.95,5092.14
14,Statement 3,37. Interest Payments,612070.02,,612070.02,708203.16,,708203.16,692900.0,,692900.0,809701.32,,809701.32
14,Statement 3,1. Other Central Sector Expenditure,612070.02,,612070.02,708203.16,,708203.16,692900.0,,692900.0,809701.32,,809701.32
14,Statement 3,38. Repayment of Debt,,,,,,,,,,,,
14,Statement 3,1. Other Central Sector Expenditure,,,,,,,,,,,,
14,Statement 3,39. Pensions,50114.79,,50114.79,61169.35,,61169.35,62150.93,,62150.93,55873.12,,55873.12
14,Statement 3,1. Establishment Expenditure of the Centre,50114.79,,50114.79,61169.35,,61169.35,62150.93,,62150.93,55873.12,,55873.12
14,Statement 3,40. Transfers to States,144846.59,4060.87,148907.46,190994.8,9452.65,200447.45,192032.43,14968.23,207000.66,280133.77,13168.23,293302.0
14,Statement 3,1. Finance Commission Grants,123709.87,,123709.87,149924.8,,149924.8,182352.43,,182352.43,220843.0,,220843.0
15,Statement 3,2.   Other Grants/Loans/Transfers,21136.72,4060.87,25197.59,41070.0,9452.65,50522.65,9680.0,14968.23,24648.23,59290.77,13168.23,72459.0
15,Statement 3,41. Department of Fisheries,647.34,3.45,650.79,805.84,19.16,825.0,897.81,12.61,910.42,1192.16,28.68,1220.84
15,Statement 3,1. Centrally Sponsored Schemes,428.95,,428.95,570.0,,570.0,710.0,,710.0,1015.0,,1015.0
15,Statement 3,2.   Establishment Expenditure of the Centre,133.14,3.45,136.59,153.84,19.16,173.0,152.53,12.61,165.14,149.32,28.68,178.0
15,Statement 3,3.   Other Central Sector Expenditure,85.25,,85.25,82.0,,82.0,35.28,,35.28,27.84,,27.84
15,Statement 3,42. Department of Animal Husbandry and Dairying,2706.64,5.68,2712.32,3242.42,46.71,3289.13,2630.09,16.3,2646.39,3057.59,44.39,3101.98
15,Statement 3,1. Central Sector Schemes/Projects,811.02,,811.02,1300.0,,1300.0,858.0,,858.0,1753.0,,1753.0
15,Statement 3,2.   Centrally Sponsored Schemes,1725.42,,1725.42,1805.0,,1805.0,1642.0,,1642.0,1177.04,,1177.04
15,Statement 3,3.   Establishment Expenditure of the Centre,141.62,5.47,147.09,164.95,12.18,177.13,136.09,4.3,140.39,158.55,3.39,161.94
15,Statement 3,4.   Other Central Sector Expenditure,28.58,0.21,28.79,-27.53,34.53,7.0,-6.0,12.0,6.0,-31.0,41.0,10.0
15,Statement 3,43. Ministry of Food Processing Industries,830.0,,830.0,1232.94,,1232.94,1247.42,,1247.42,1308.66,,1308.66
15,Statement 3,1. Central Sector Schemes/Projects,818.6,,818.6,1081.41,,1081.41,750.0,,750.0,700.0,,700.0
15,Statement 3,2.   Centrally Sponsored Schemes,-15.54,,-15.54,,,,400.0,,400.0,500.0,,500.0
15,Statement 3,3.   Establishment Expenditure of the Centre,26.94,,26.94,32.32,,32.32,33.33,,33.33,36.26,,36.26
15,Statement 3,4.   Other Central Sector Expenditure,,,,119.21,,119.21,64.09,,64.09,72.4,,72.4
15,Statement 3,44. Department of Health and Family Welfare,60730.18,1666.9,62397.08,63946.1,1065.7,65011.8,74632.5,4233.5,78866.0,68760.03,2508.74,71268.77
15,Statement 3,1. Central Sector Schemes/Projects,7095.41,1187.35,8282.76,8978.69,782.31,9761.0,19509.28,3658.29,23167.57,8622.65,1943.98,10566.63
15,Statement 3,2.   Centrally Sponsored Schemes,37662.91,,37662.91,39838.0,1.0,39839.0,38283.25,,38283.25,42972.5,5.0,42977.5
15,Statement 3,3.   Establishment Expenditure of the Centre,4745.15,363.15,5108.3,4976.21,243.0,5219.21,5414.76,534.82,5949.58,5777.76,468.04,6245.8
15,Statement 3,4.   Other Central Sector Expenditure,11226.71,116.4,11343.11,10153.2,39.39,10192.59,11425.21,40.39,11465.6,11387.12,91.72,11478.84
15,Statement 3,45. Department of Health Research,1860.71,,1860.71,2100.0,,2100.0,4062.3,,4062.3,2663.0,,2663.0
15,Statement 3,1. Central Sector Schemes/Projects,219.68,,219.68,262.29,,262.29,2326.29,,2326.29,260.0,,260.0
15,Statement 3,2.   Establishment Expenditure of the Centre,32.35,,32.35,42.0,,42.0,38.3,,38.3,45.0,,45.0
15,Statement 3,3.   Other Central Sector Expenditure,1608.68,,1608.68,1795.71,,1795.71,1697.71,,1697.71,2358.0,,2358.0
15,Statement 3,46. Department of Heavy Industry,922.17,352.05,1274.22,930.35,559.63,1489.98,588.44,311.56,900.0,927.85,67.42,995.27
15,Statement 3,1. Central Sector Schemes/Projects,895.89,108.35,1004.24,881.25,300.0,1181.25,387.59,114.3,501.89,869.75,67.22,936.97
15,Statement 3,2.   Establishment Expenditure of the Centre,36.95,,36.95,41.09,,41.09,34.38,,34.38,41.09,,41.09
15,Statement 3,3.   Other Central Sector Expenditure,-10.67,243.7,233.03,8.01,259.63,267.64,166.47,197.26,363.73,17.01,0.2,17.21
15,Statement 3,47. Department of Public Enterprises,21.08,,21.08,24.15,,24.15,17.84,,17.84,21.81,,21.81
15,Statement 3,1. Central Sector Schemes/Projects,8.55,,8.55,10.5,,10.5,5.6,,5.6,8.55,,8.55
16,Statement 3,2.   Establishment Expenditure of the Centre,12.53,,12.53,13.65,,13.65,12.24,,12.24,13.26,,13.26
16,Statement 3,48. Ministry of Home Affairs,16626.5,310.33,16936.83,7749.52,252.48,8002.0,3736.22,279.33,4015.55,7333.41,286.99,7620.4
16,Statement 3,1. Central Sector Schemes/Projects,2076.51,146.45,2222.96,1528.7,72.03,1600.73,1350.08,106.15,1456.23,1569.07,72.05,1641.12
16,Statement 3,2.   Establishment Expenditure of the Centre,1449.05,78.55,1527.6,1588.85,85.45,1674.3,1517.35,95.18,1612.53,1875.31,134.94,2010.25
16,Statement 3,3.   Other Central Sector Expenditure,1330.17,85.33,1415.5,4558.96,95.0,4653.96,758.46,78.0,836.46,3841.0,80.0,3921.0
16,Statement 3,4.   Other Grants/Loans/Transfers,11770.77,,11770.77,73.01,,73.01,110.33,,110.33,48.03,,48.03
