page,statement,demand_no,ministry_department,expenditure_category,category_number,row_type,actuals_2022_23_revenue,actuals_2022_23_capital,actuals_2022_23_total,BE_2023_24_revenue,BE_2023_24_capital,BE_2023_24_total,RE_2023_24_revenue,RE_2023_24_capital,RE_2023_24_total,BE_2024_25_revenue,BE_2024_25_capital,BE_2024_25_total
23,Statement 3,84,Union Public Service Commission,,,ministry_total,369.71,,369.71,358.46,21.54,380.00,408.70,17.54,426.24,404.17,21.54,425.71
23,Statement 3,84,Union Public Service Commission,Establishment Expenditure of the Centre,1.0,category,369.71,,369.71,358.46,21.54,380.00,408.70,17.54,426.24,404.17,21.54,425.71
23,Statement 3,85,Ministry of Railways,,,ministry_total,3153.97,159256.15,162410.12,1267.51,240000.00,241267.51,3271.84,240000.00,243271.84,3393.00,252000.00,255393.00
23,Statement 3,85,Ministry of Railways,Central Sector Schemes/Projects,1.0,category,,159256.15,159256.15,,240000.00,240000.00,,240000.00,240000.00,,252000.00,252000.00
23,Statement 3,85,Ministry of Railways,Establishment Expenditure of the Centre,2.0,category,3153.97,,3153.97,1267.51,,1267.51,3271.84,,3271.84,3393.00,,3393.00
23,Statement 3,86,Ministry of Road Transport and Highways,,,ministry_total,11103.53,205985.94,217089.47,11829.18,258605.53,270434.71,11825.92,264525.53,276351.45,5758.85,272241.15,278000.00
23,Statement 3,86,Ministry of Road Transport and Highways,Central Sector Schemes/Projects,1.0,category,10956.20,205985.94,216942.14,11649.05,258601.33,270250.38,11653.12,264523.33,276176.45,5591.85,272238.24,277830.09
23,Statement 3,86,Ministry of Road Transport and Highways,Establishment Expenditure of the Centre,2.0,category,147.33,,147.33,180.13,4.20,184.33,172.80,2.20,175.00,167.00,2.91,169.91
23,Statement 3,87,Department of Rural Development,,,ministry_total,176837.39,,176837.39,157541.48,3.52,157545.00,171065.82,3.64,171069.46,177562.05,4.14,177566.19
23,Statement 3,87,Department of Rural Development,Central Sector Schemes/Projects,1.0,category,201.36,,201.36,113.49,,113.49,100.00,,100.00,250.53,,250.53
23,Statement 3,87,Department of Rural Development,Centrally Sponsored Schemes,2.0,category,176558.64,,176558.64,157252.49,,157252.49,170781.18,,170781.18,177199.14,,177199.14
23,Statement 3,87,Department of Rural Development,Establishment Expenditure of the Centre,3.0,category,85.60,,85.60,60.50,3.52,64.02,93.26,3.64,96.90,101.54,4.14,105.68
