page,statement,demand_no,ministry_department,expenditure_category,category_number,row_type,actuals_2022_23_revenue,actuals_2022_23_capital,actuals_2022_23_total,BE_2023_24_revenue,BE_2023_24_capital,BE_2023_24_total,RE_2023_24_revenue,RE_2023_24_capital,RE_2023_24_total,BE_2024_25_revenue,BE_2024_25_capital,BE_2024_25_total
11,Statement 3,7,Department of Pharmaceuticals,Other Central Sector Expenditure,3.0,category,56.50,5.26,61.76,,0.06,0.06,356.44,0.01,356.45,0.01,0.06,0.07
11,Statement 3,8,Ministry of Civil Aviation,,,ministry_total,9234.41,86.44,9320.85,3026.70,86.66,3113.36,2150.35,771.77,2922.12,2257.79,99.35,2357.14
11,Statement 3,8,Ministry of Civil Aviation,Central Sector Schemes/Projects,1.0,category,8333.12,,8333.12,1277.09,,1277.09,883.01,,883.01,559.01,,559.01
11,Statement 3,8,Ministry of Civil Aviation,Establishment Expenditure of the Centre,2.0,category,464.98,86.44,551.42,555.10,86.66,641.76,469.53,171.77,641.30,512.52,41.95,554.47
11,Statement 3,8,Ministry of Civil Aviation,Other Central Sector Expenditure,3.0,category,436.31,,436.31,1194.51,,1194.51,797.81,600.00,1397.81,1186.26,57.40,1243.66
11,Statement 3,9,Ministry of Coal,,,ministry_total,103.46,,103.46,190.77,1.55,192.32,187.49,1.55,189.04,190.35,2.20,192.55
11,Statement 3,9,Ministry of Coal,Central Sector Schemes/Projects,1.0,category,55.58,,55.58,113.50,,113.50,110.50,,110.50,113.50,,113.50
11,Statement 3,9,Ministry of Coal,Establishment Expenditure of the Centre,2.0,category,47.31,,47.31,66.63,1.55,68.18,66.33,1.55,67.88,66.74,2.20,68.94
11,Statement 3,9,Ministry of Coal,Other Central Sector Expenditure,3.0,category,0.57,,0.57,10.64,,10.64,10.66,,10.66,10.11,,10.11
11,Statement 3,10,Department of Commerce,,,ministry_total,6658.93,395.00,7053.93,5216.43,38.15,5254.58,6021.31,28.70,6050.01,4954.84,59.22,5014.06
11,Statement 3,10,Department of Commerce,Central Sector Schemes/Projects,1.0,category,5914.87,388.00,6302.87,4351.46,0.01,4351.47,5244.39,,5244.39,3857.35,,3857.35
11,Statement 3,10,Department of Commerce,Establishment Expenditure of the Centre,2.0,category,734.39,7.00,741.39,801.47,38.14,839.61,739.35,28.70,768.05,1044.92,59.22,1104.14
11,Statement 3,10,Department of Commerce,Other Central Sector Expenditure,3.0,category,9.67,,9.67,63.50,,63.50,37.57,,37.57,52.57,,52.57
11,Statement 3,11,Department for Promotion of Industry and Internal Trade,,,ministry_total,4348.59,1598.28,5946.87,6548.93,1651.70,8200.63,4741.48,1662.31,6403.79,5050.69,1404.39,6455.08
11,Statement 3,11,Department for Promotion of Industry and Internal Trade,Central Sector Schemes/Projects,1.0,category,3690.38,1565.00,5255.38,5741.88,1630.15,7372.03,3966.55,1630.15,5596.70,4219.27,1375.15,5594.42
11,Statement 3,11,Department for Promotion of Industry and Internal Trade,Establishment Expenditure of the Centre,2.0,category,498.43,33.28,531.71,626.80,21.55,648.35,595.39,32.16,627.55,627.26,29.24,656.50
11,Statement 3,11,Department for Promotion of Industry and Internal Trade,Other Central Sector Expenditure,3.0,category,159.78,,159.78,180.25,,180.25,179.54,,179.54,204.16,,204.16
12,Statement 3,12,Department of Posts,,,ministry_total,20538.44,1476.67,22015.11,24417.05,1396.95,25814.00,22808.50,1580.70,24389.20,24115.87,1262.60,25378.47
12,Statement 3,12,Department of Posts,Central Sector Schemes/Projects,1.0,category,257.21,1461.57,1718.78,149.36,1378.95,1528.31,168.44,1550.90,1719.34,176.90,1222.60,1399.50
12,Statement 3,12,Department of Posts,Establishment Expenditure of the Centre,2.0,category,20281.23,15.10,20296.33,24267.69,18.00,24285.69,22640.06,29.80,22669.86,23938.97,40.00,23978.97
12,Statement 3,13,Department of Telecommunications,,,ministry_total,64231.92,54728.62,118960.54,35887.23,61691.82,97579.05,28259.98,70099.43,98359.41,27419.17,84496.26,111915.43
12,Statement 3,13,Department of Telecommunications,Central Sector Schemes/Projects,1.0,category,27178.48,28004.73,55183.21,6391.55,8451.77,14843.32,1622.54,5055.73,6678.27,2989.72,1363.47,4353.19
12,Statement 3,13,Department of Telecommunications,Establishment Expenditure of the Centre,2.0,category,16451.37,150.45,16601.82,21899.86,143.05,22042.91,18205.82,256.53,18462.35,18607.63,48.59,18656.22
12,Statement 3,13,Department of Telecommunications,Other Central Sector Expenditure,3.0,category,20602.07,26573.44,47175.51,7595.82,53097.00,60692.82,8431.62,64787.17,73218.79,5821.82,83084.20,88906.02
12,Statement 3,14,Department of Consumer Affairs,,,ministry_total,183.84,25.64,209.48,222.59,28.07,250.66,258.82,50.44,309.26,10237.29,66.32,10303.61
12,Statement 3,14,Department of Consumer Affairs,Central Sector Schemes/Projects,1.0,category,71.05,25.64,96.69,86.47,27.03,113.50,133.21,49.40,182.61,10103.95,65.05,10169.00
12,Statement 3,14,Department of Consumer Affairs,Establishment Expenditure of the Centre,2.0,category,116.03,,116.03,136.12,1.04,137.16,125.61,1.04,126.65,133.34,1.27,134.61
12,Statement 3,14,Department of Consumer Affairs,Other Central Sector Expenditure,3.0,category,-3.24,,-3.24,,,,,,,,,
12,Statement 3,15,Department of Food and Public Distribution,,,ministry_total,281733.05,2011.48,283744.53,205363.57,150.37,205513.94,221722.71,201.93,221924.64,212976.21,43.54,213019.75
12,Statement 3,15,Department of Food and Public Distribution,Central Sector Schemes/Projects,1.0,category,273022.08,79.23,273101.31,197768.57,100.00,197868.57,212751.03,147.26,212898.29,205700.56,0.01,205700.57
12,Statement 3,15,Department of Food and Public Distribution,Centrally Sponsored Schemes,2.0,category,8581.87,,8581.87,7424.60,,7424.60,8554.89,,8554.89,7098.50,26.50,7125.00
12,Statement 3,15,Department of Food and Public Distribution,Establishment Expenditure of the Centre,3.0,category,112.02,32.25,144.27,144.39,50.37,194.76,390.72,54.67,445.39,150.46,17.02,167.48
12,Statement 3,15,Department of Food and Public Distribution,Other Central Sector Expenditure,4.0,category,17.08,1900.00,1917.08,26.01,,26.01,26.07,,26.07,26.69,0.01,26.70
12,Statement 3,16,Ministry of Cooperation,,,ministry_total,1471.74,164.78,1636.52,1149.38,1.00,1150.38,746.34,1.50,747.84,1182.38,1.01,1183.39
12,Statement 3,16,Ministry of Cooperation,Central Sector Schemes/Projects,1.0,category,876.93,,876.93,55.01,,55.01,300.03,,300.03,500.02,,500.02
12,Statement 3,16,Ministry of Cooperation,Centrally Sponsored Schemes,2.0,category,495.00,,495.00,968.25,,968.25,350.01,,350.01,588.97,,588.97
12,Statement 3,16,Ministry of Cooperation,Establishment Expenditure of the Centre,3.0,category,25.81,164.78,190.59,75.00,1.00,76.00,44.30,1.50,45.80,38.39,1.01,39.40
12,Statement 3,16,Ministry of Cooperation,Other Central Sector Expenditure,4.0,category,74.00,,74.00,51.12,,51.12,52.00,,52.00,55.00,,55.00
12,Statement 3,17,Ministry of Corporate Affairs,,,ministry_total,563.01,5.60,568.61,714.19,42.00,756.19,575.43,42.00,617.43,2611.96,55.10,2667.06
12,Statement 3,17,Ministry of Corporate Affairs,Central Sector Schemes/Projects,1.0,category,4.70,0.42,5.12,0.02,,0.02,4.40,0.50,4.90,2004.00,1.00,2005.00
12,Statement 3,17,Ministry of Corporate Affairs,Establishment Expenditure of the Centre,2.0,category,482.51,,482.51,621.32,,621.32,502.05,,502.05,537.96,,537.96
13,Statement 3,17,Ministry of Corporate Affairs,Other Central Sector Expenditure,3.0,category,75.80,5.18,80.98,92.85,42.00,134.85,68.98,41.50,110.48,70.00,54.10,124.10
13,Statement 3,18,Ministry of Culture,,,ministry_total,3204.45,71.04,3275.49,3114.25,285.40,3399.65,3372.60,87.40,3460.00,3070.92,190.01,3260.93
13,Statement 3,18,Ministry of Culture,Central Sector Schemes/Projects,1.0,category,770.20,,770.20,650.74,,650.74,808.77,,808.77,520.24,,520.24
13,Statement 3,18,Ministry of Culture,Establishment Expenditure of the Centre,2.0,category,1305.81,71.04,1376.85,1417.29,285.40,1702.69,1431.36,87.40,1518.76,1519.61,190.01,1709.62
13,Statement 3,18,Ministry of Culture,Other Central Sector Expenditure,3.0,category,1128.44,,1128.44,1046.22,,1046.22,1132.47,,1132.47,1031.07,,1031.07
13,Statement 3,19,Ministry of Defence (Civil),,,ministry_total,12611.77,7955.97,20567.74,13837.71,8774.79,22612.50,15354.24,10542.75,25896.99,15722.33,10240.85,25963.18
13,Statement 3,19,Ministry of Defence (Civil),Central Sector Schemes/Projects,1.0,category,1039.97,4510.00,5549.97,1005.00,5000.00,6005.00,1250.00,6500.00,7750.00,1305.00,6500.00,7805.00
13,Statement 3,19,Ministry of Defence (Civil),Establishment Expenditure of the Centre,2.0,category,12634.82,3300.25,15935.07,13016.27,3671.29,16687.56,14162.24,3951.00,18113.24,14475.33,3633.60,18108.93
13,Statement 3,19,Ministry of Defence (Civil),Other Central Sector Expenditure,3.0,category,-1063.02,145.72,-917.30,-183.56,103.50,-80.06,-58.00,91.75,33.75,-58.00,107.25,49.25
13,Statement 3,20,Defence Services (Revenue),,,ministry_total,256183.44,,256183.44,270120.14,,270120.14,298668.75,,298668.75,282772.67,,282772.67
13,Statement 3,20,Defence Services (Revenue),Establishment Expenditure of the Centre,1.0,category,256183.44,,256183.44,270120.14,,270120.14,298668.75,,298668.75,282772.67,,282772.67
13,Statement 3,21,Capital Outlay on Defence Services,,,ministry_total,,142940.01,142940.01,,162600.00,162600.00,,157228.20,157228.20,,172000.00,172000.00
13,Statement 3,21,Capital Outlay on Defence Services,Central Sector Schemes/Projects,1.0,category,,142940.01,142940.01,,162600.00,162600.00,,157228.20,157228.20,,172000.00,172000.00
13,Statement 3,22,Defence Pensions,,,ministry_total,153406.90,,153406.90,138205.00,,138205.00,142095.00,,142095.00,141205.00,,141205.00
13,Statement 3,22,Defence Pensions,Establishment Expenditure of the Centre,1.0,category,153406.90,,153406.90,138205.00,,138205.00,142095.00,,142095.00,141205.00,,141205.00
13,Statement 3,23,Ministry of Development of North Eastern Region,,,ministry_total,653.67,336.28,989.95,1798.75,4093.25,5892.00,1798.75,4093.25,5892.00,2040.68,3859.32,5900.00
13,Statement 3,23,Ministry of Development of North Eastern Region,Central Sector Schemes/Projects,1.0,category,635.66,300.52,936.18,1762.70,4088.30,5851.00,1761.86,4088.30,5850.16,2008.94,3856.72,5865.66
13,Statement 3,23,Ministry of Development of North Eastern Region,Establishment Expenditure of the Centre,2.0,category,29.93,,29.93,30.38,0.95,31.33,31.22,0.95,32.17,31.74,0.60,32.34
13,Statement 3,23,Ministry of Development of North Eastern Region,Other Central Sector Expenditure,3.0,category,-11.92,35.76,23.84,5.67,4.00,9.67,5.67,4.00,9.67,,2.00,2.00
13,Statement 3,24,Ministry of Earth Sciences,,,ministry_total,1480.57,88.29,1568.86,2646.07,673.81,3319.88,2466.18,412.84,2879.02,2506.46,558.34,3064.80
13,Statement 3,24,Ministry of Earth Sciences,Central Sector Schemes/Projects,1.0,category,786.89,88.29,875.18,1404.77,666.23,2071.00,1169.47,405.53,1575.00,1119.80,551.20,1671.00
13,Statement 3,24,Ministry of Earth Sciences,Establishment Expenditure of the Centre,2.0,category,517.23,,517.23,1036.40,7.58,1043.98,1084.95,7.31,1092.26,1172.02,7.14,1179.16
13,Statement 3,24,Ministry of Earth Sciences,Other Central Sector Expenditure,3.0,category,176.45,,176.45,204.90,,204.90,211.76,,211.76,214.64,,214.64
14,Statement 3,25,Department of School Education and Literacy,,,ministry_total,58639.56,,58639.56,68804.30,0.55,68804.85,72473.15,0.65,72473.80,73007.34,0.76,73008.10
14,Statement 3,25,Department of School Education and Literacy,Central Sector Schemes/Projects,1.0,category,310.47,,310.47,364.01,,364.01,358.00,,358.00,377.01,,377.01
14,Statement 3,25,Department of School Education and Literacy,Centrally Sponsored Schemes,2.0,category,45744.97,,45744.97,54010.47,,54010.47,46600.00,,46600.00,56937.39,,56937.39
14,Statement 3,25,Department of School Education and Literacy,Establishment Expenditure of the Centre,3.0,category,34.35,,34.35,38.46,0.55,39.01,45.15,0.65,45.80,54.27,0.76,55.03
14,Statement 3,25,Department of School Education and Literacy,Other Central Sector Expenditure,4.0,category,12800.34,,12800.34,14391.36,,14391.36,25470.00,,25470.00,15638.67,,15638.67
14,Statement 3,25,Department of School Education and Literacy,Other Grants/Loans/Transfers,5.0,category,-250.57,,-250.57,,,,,,,,,
14,Statement 3,26,Department of Higher Education,,,ministry_total,38553.86,2.94,38556.80,44082.10,12.52,44094.62,57231.96,12.52,57244.48,47608.71,11.06,47619.77
14,Statement 3,26,Department of Higher Education,Central Sector Schemes/Projects,1.0,category,3800.93,,3800.93,4968.03,,4968.03,3980.39,,3980.39,5672.93,,5672.93
14,Statement 3,26,Department of Higher Education,Centrally Sponsored Schemes,2.0,category,360.51,,360.51,1500.00,,1500.00,500.00,,500.00,1814.94,,1814.94
14,Statement 3,26,Department of Higher Education,Establishment Expenditure of the Centre,3.0,category,189.46,2.94,192.40,278.33,12.52,290.85,257.36,12.52,269.88,240.45,11.06,251.51
14,Statement 3,26,Department of Higher Education,Other Central Sector Expenditure,4.0,category,34666.47,,34666.47,37335.74,,37335.74,52494.21,,52494.21,39880.39,,39880.39
14,Statement 3,26,Department of Higher Education,Other Grants/Loans/Transfers,5.0,category,-463.51,,-463.51,,,,,,,,,
14,Statement 3,27,Ministry of Electronics and Information Technology,,,ministry_total,7922.65,276.60,8199.25,16180.36,368.68,16549.04,14012.39,408.86,14421.25,21355.89,581.01,21936.90
14,Statement 3,27,Ministry of Electronics and Information Technology,Central Sector Schemes/Projects,1.0,category,5531.09,,5531.09,12440.28,,12440.28,10491.25,,10491.25,17871.26,,17871.26
14,Statement 3,27,Ministry of Electronics and Information Technology,Establishment Expenditure of the Centre,2.0,category,1539.30,276.60,1815.90,1672.08,368.68,2040.76,1665.64,408.86,2074.50,1771.63,581.01,2352.64
14,Statement 3,27,Ministry of Electronics and Information Technology,Other Central Sector Expenditure,3.0,category,852.26,,852.26,2068.00,,2068.00,1855.50,,1855.50,1713.00,,1713.00
14,Statement 3,28,"Ministry of Environment, Forests and Climate Change",,,ministry_total,2316.88,72.42,2389.30,2934.02,145.38,3079.40,3152.64,78.38,3231.02,3237.12,93.25,3330.37
14,Statement 3,28,"Ministry of Environment, Forests and Climate Change",Central Sector Schemes/Projects,1.0,category,818.63,,818.63,948.76,,948.76,1045.80,,1045.80,1074.24,,1074.24
14,Statement 3,28,"Ministry of Environment, Forests and Climate Change",Centrally Sponsored Schemes,2.0,category,485.24,,485.24,758.80,,758.80,535.00,,535.00,713.50,,713.50
14,Statement 3,28,"Ministry of Environment, Forests and Climate Change",Establishment Expenditure of the Centre,3.0,category,551.30,72.42,623.72,758.06,145.38,903.44,709.80,78.38,788.18,866.38,93.25,959.63
14,Statement 3,28,"Ministry of Environment, Forests and Climate Change",Other Central Sector Expenditure,4.0,category,461.71,,461.71,468.40,,468.40,862.04,,862.04,583.00,,583.00
14,Statement 3,29,Ministry of External Affairs,,,ministry_total,15487.57,1173.39,16660.96,16529.79,1520.21,18050.00,27145.95,1975.93,29121.88,20479.49,1675.18,22154.67
14,Statement 3,29,Ministry of External Affairs,Central Sector Schemes/Projects,1.0,category,4840.00,704.20,5544.20,5080.24,768.34,5848.58,4927.43,1614.36,6541.79,4677.86,989.70,5667.56
14,Statement 3,29,Ministry of External Affairs,Establishment Expenditure of the Centre,2.0,category,5385.96,470.02,5855.98,6193.48,751.87,6945.35,7082.40,361.57,7443.97,5755.76,685.48,6441.24
14,Statement 3,29,Ministry of External Affairs,Other Central Sector Expenditure,3.0,category,5261.61,-0.83,5260.78,5256.07,,5256.07,15136.12,,15136.12,10045.87,,10045.87
15,Statement 3,30,Department of Economic Affairs,,,ministry_total,5710.74,1566.21,7276.95,6321.62,4559.43,10881.05,12655.94,5571.32,18227.26,14075.64,66197.27,80272.91
15,Statement 3,30,Department of Economic Affairs,Central Sector Schemes/Projects,1.0,category,1460.68,1690.75,3151.43,1827.00,1998.00,3825.00,3086.03,2604.97,5691.00,4365.05,1510.00,5875.05
15,Statement 3,30,Department of Economic Affairs,Establishment Expenditure of the Centre,2.0,category,212.16,,212.16,280.07,15.26,295.33,322.62,17.38,340.00,294.82,18.78,313.60
15,Statement 3,30,Department of Economic Affairs,Other Central Sector Expenditure,3.0,category,4037.90,-124.54,3913.36,4214.55,2546.17,6760.72,9247.29,2948.97,12196.26,9415.77,64668.49,74084.26
15,Statement 3,31,Department of Expenditure,,,ministry_total,365.78,,365.78,389.26,128.08,517.34,378.20,90.84,469.04,412.68,91.46,504.14
15,Statement 3,31,Department of Expenditure,Establishment Expenditure of the Centre,1.0,category,352.48,,352.48,374.16,128.08,502.24,363.10,90.84,453.94,397.58,91.46,489.04
15,Statement 3,31,Department of Expenditure,Other Central Sector Expenditure,2.0,category,13.30,,13.30,15.10,,15.10,15.10,,15.10,15.10,,15.10
15,Statement 3,32,Department of Financial Services,,,ministry_total,1174.62,1986.00,3160.62,1112.35,212.29,1324.64,4090.03,518.59,4608.62,2783.21,61.94,2845.15
15,Statement 3,32,Department of Financial Services,Central Sector Schemes/Projects,1.0,category,1105.23,1986.00,3091.23,824.59,200.05,1024.64,3841.13,500.03,4341.16,2520.67,50.06,2570.73
15,Statement 3,32,Department of Financial Services,Establishment Expenditure of the Centre,2.0,category,69.39,,69.39,287.76,12.24,300.00,248.90,18.56,267.46,262.54,11.88,274.42
15,Statement 3,33,Department of Public Enterprises,,,ministry_total,30.99,150.00,180.99,32.15,0.90,33.05,29.97,2.60,32.57,25.91,0.69,26.60
15,Statement 3,33,Department of Public Enterprises,Central Sector Schemes/Projects,1.0,category,7.82,,7.82,9.91,,9.91,8.21,,8.21,8.38,,8.38
15,Statement 3,33,Department of Public Enterprises,Establishment Expenditure of the Centre,2.0,category,23.17,150.00,173.17,22.24,0.90,23.14,21.76,2.60,24.36,17.53,0.69,18.22
15,Statement 3,34,Department of Investment and Public Asset Management (DIPAM),,,ministry_total,178.89,,178.89,93.46,1.46,94.92,58.57,1.46,60.03,48.27,1.47,49.74
15,Statement 3,34,Department of Investment and Public Asset Management (DIPAM),Establishment Expenditure of the Centre,1.0,category,178.89,,178.89,93.46,1.46,94.92,58.57,1.46,60.03,48.27,1.47,49.74
15,Statement 3,35,Department of Revenue,,,ministry_total,164547.95,28.99,164576.94,146227.84,119.84,146347.68,146643.88,306.76,146950.64,151561.83,531.96,152093.79
15,Statement 3,35,Department of Revenue,Establishment Expenditure of the Centre,1.0,category,891.58,,891.58,793.18,71.44,864.62,913.50,52.44,965.94,879.06,55.71,934.77
15,Statement 3,35,Department of Revenue,Other Central Sector Expenditure,2.0,category,150.08,28.99,179.07,434.63,48.40,483.03,730.38,254.32,984.70,682.74,476.25,1158.99
15,Statement 3,35,Department of Revenue,Other Grants/Loans/Transfers,3.0,category,163506.29,,163506.29,145000.03,,145000.03,145000.00,,145000.00,150000.03,,150000.03
15,Statement 3,36,Direct Taxes,,,ministry_total,8452.15,416.63,8868.78,8282.87,1608.00,9890.87,8818.30,1210.39,10028.69,9025.42,1312.96,10338.38
15,Statement 3,36,Direct Taxes,Establishment Expenditure of the Centre,1.0,category,8452.15,416.42,8868.57,8282.87,558.00,8840.87,8818.30,411.64,9229.94,9025.42,496.52,9521.94
15,Statement 3,36,Direct Taxes,Other Central Sector Expenditure,2.0,category,,0.21,0.21,,1050.00,1050.00,,798.75,798.75,,816.44,816.44
16,Statement 3,37,Indirect Taxes,,,ministry_total,33304.22,681.55,33985.77,36305.08,2205.00,38510.08,34508.44,2207.66,36716.10,38859.36,2238.62,41097.98
16,Statement 3,37,Indirect Taxes,Central Sector Schemes/Projects,1.0,category,24882.23,,24882.23,27554.59,,27554.59,25935.85,,25935.85,29940.74,,29940.74
16,Statement 3,37,Indirect Taxes,Establishment Expenditure of the Centre,2.0,category,8421.99,681.55,9103.54,8750.49,2205.00,10955.49,8572.59,2207.66,10780.25,8918.62,2238.62,11157.24
16,Statement 3,38,Indian Audit and Accounts Department,,,ministry_total,5519.85,156.35,5676.20,5669.93,136.20,5806.13,5760.06,207.31,5967.37,5785.98,175.50,5961.48
16,Statement 3,38,Indian Audit and Accounts Department,Establishment Expenditure of the Centre,1.0,category,5519.85,156.35,5676.20,5669.93,136.20,5806.13,5760.06,207.31,5967.37,5785.98,175.50,5961.48
16,Statement 3,39,Interest Payments,,,ministry_total,928517.03,,928517.03,1079971.00,,1079971.00,1055427.21,,1055427.21,1162940.29,,1162940.29
16,Statement 3,39,Interest Payments,Other Central Sector Expenditure,1.0,category,928517.03,,928517.03,1079971.00,,1079971.00,1055427.21,,1055427.21,1162940.29,,1162940.29
16,Statement 3,40,Repayment of Debt,,,ministry_total,,,,,,,,,0.00,,,
16,Statement 3,40,Repayment of Debt,Other Central Sector Expenditure,1.0,category,,,,,,,,,,,,
16,Statement 3,41,Pensions,,,ministry_total,68066.13,,68066.13,71701.00,,71701.00,74701.00,,74701.00,79241.00,,79241.00
16,Statement 3,41,Pensions,Establishment Expenditure of the Centre,1.0,category,68066.13,,68066.13,71701.00,,71701.00,74701.00,,74701.00,79241.00,,79241.00
16,Statement 3,42,Transfers to States,,,ministry_total,180688.82,92704.53,273393.35,187260.01,137381.40,324641.41,158429.01,115555.88,273984.89,160378.18,162408.88,322787.06
16,Statement 3,42,Transfers to States,Finance Commission Grants,1.0,category,172759.68,,172759.68,165480.00,,165480.00,140429.00,,140429.00,132378.17,,132378.17
16,Statement 3,42,Transfers to States,Other Grants/Loans/Transfers,2.0,category,7929.14,92704.53,100633.67,21780.01,137381.40,159161.41,18000.01,115555.88,133555.89,28000.01,162408.88,190408.89
16,Statement 3,43,Department of Fisheries,,,ministry_total,1292.10,2.28,1294.38,2228.37,20.40,2248.77,1692.74,8.26,1701.00,2597.44,19.00,2616.44
16,Statement 3,43,Department of Fisheries,Central Sector Schemes/Projects,1.0,category,,,,,,,25.00,,25.00,30.00,,30.00
16,Statement 3,43,Department of Fisheries,Centrally Sponsored Schemes,2.0,category,1114.20,,1114.20,2025.00,,2025.00,1500.00,,1500.00,2352.00,,2352.00
16,Statement 3,43,Department of Fisheries,Establishment Expenditure of the Centre,3.0,category,160.30,2.28,162.58,179.17,20.40,199.57,147.74,8.26,156.00,192.94,19.00,211.94
16,Statement 3,43,Department of Fisheries,Other Central Sector Expenditure,4.0,category,17.60,,17.60,24.20,,24.20,20.00,,20.00,22.50,,22.50
16,Statement 3,44,Department of Animal Husbandry and Dairying,,,ministry_total,2302.16,13.45,2315.61,4289.09,38.76,4327.85,3727.22,186.71,3913.93,4283.57,237.67,4521.24
16,Statement 3,44,Department of Animal Husbandry and Dairying,Central Sector Schemes/Projects,1.0,category,1037.05,,1037.05,2689.71,,2689.71,1840.00,,1840.00,3755.00,151.00,3906.00
16,Statement 3,44,Department of Animal Husbandry and Dairying,Centrally Sponsored Schemes,2.0,category,1014.16,,1014.16,1395.93,10.00,1405.93,1694.19,157.31,1851.50,369.00,,369.00
16,Statement 3,44,Department of Animal Husbandry and Dairying,Establishment Expenditure of the Centre,3.0,category,151.01,13.45,164.46,170.54,17.86,188.40,175.52,23.40,198.92,162.72,55.67,218.39
17,Statement 3,44,Department of Animal Husbandry and Dairying,Other Central Sector Expenditure,4.0,category,99.94,,99.94,32.91,10.90,43.81,17.51,6.00,23.51,-3.15,31.00,27.85
17,Statement 3,45,Ministry of Food Processing Industries,,,ministry_total,1409.94,,1409.94,3285.19,2.46,3287.65,2909.64,2.31,2911.95,3287.46,2.54,3290.00
17,Statement 3,45,Ministry of Food Processing Industries,Central Sector Schemes/Projects,1.0,category,1051.75,,1051.75,2453.04,0.20,2453.24,1894.80,0.20,1895.00,2172.98,0.04,2173.02
17,Statement 3,45,Ministry of Food Processing Industries,Centrally Sponsored Schemes,2.0,category,229.58,,229.58,638.55,0.50,639.05,799.95,0.05,800.00,879.00,0.50,879.50
17,Statement 3,45,Ministry of Food Processing Industries,Establishment Expenditure of the Centre,3.0,category,35.74,,35.74,125.28,1.76,127.04,121.58,2.06,123.64,120.48,2.00,122.48
17,Statement 3,45,Ministry of Food Processing Industries,Other Central Sector Expenditure,4.0,category,92.87,,92.87,68.32,,68.32,93.31,,93.31,115.00,,115.00
17,Statement 3,46,Department of Health and Family Welfare,,,ministry_total,70257.76,3050.54,73308.30,80874.66,5300.34,86175.00,74915.43,2709.36,77624.79,84044.61,3612.29,87656.90
17,Statement 3,46,Department of Health and Family Welfare,Central Sector Schemes/Projects,1.0,category,8415.27,2533.87,10949.14,4868.49,3951.78,8820.27,3686.07,1912.85,5598.92,4363.80,2586.12,6949.92
17,Statement 3,46,Department of Health and Family Welfare,Centrally Sponsored Schemes,2.0,category,40637.10,2.85,40639.95,46935.04,412.19,47347.23,42381.14,0.52,42381.66,48212.57,6.50,48219.07
17,Statement 3,46,Department of Health and Family Welfare,Establishment Expenditure of the Centre,3.0,category,5838.97,468.95,6307.92,6828.70,868.94,7697.64,6390.56,745.56,7136.12,7104.98,942.44,8047.42
17,Statement 3,46,Department of Health and Family Welfare,Other Central Sector Expenditure,4.0,category,15366.42,44.87,15411.29,22242.43,67.43,22309.86,22457.66,50.43,22508.09,24363.26,77.23,24440.49
17,Statement 3,47,Department of Health Research,,,ministry_total,2422.76,,2422.76,2979.20,0.80,2980.00,2892.03,0.80,2892.83,3300.87,0.86,3301.73
17,Statement 3,47,Department of Health Research,Central Sector Schemes/Projects,1.0,category,340.15,,340.15,566.42,,566.42,552.16,,552.16,507.25,,507.25
17,Statement 3,47,Department of Health Research,Establishment Expenditure of the Centre,2.0,category,35.92,,35.92,53.20,0.80,54.00,44.75,0.80,45.55,61.49,0.86,62.35
17,Statement 3,47,Department of Health Research,Other Central Sector Expenditure,3.0,category,2046.69,,2046.69,2359.58,,2359.58,2295.12,,2295.12,2732.13,,2732.13
17,Statement 3,48,Ministry of Heavy Industries,,,ministry_total,2662.31,43.96,2706.27,6145.32,26.31,6171.63,6389.32,2.19,6391.51,7240.20,1.80,7242.00
17,Statement 3,48,Ministry of Heavy Industries,Central Sector Schemes/Projects,1.0,category,2611.19,,2611.19,6026.97,,6026.97,5490.38,,5490.38,7171.33,,7171.33
17,Statement 3,48,Ministry of Heavy Industries,Establishment Expenditure of the Centre,2.0,category,32.54,,32.54,37.02,2.00,39.02,35.73,2.00,37.73,32.44,1.60,34.04
17,Statement 3,48,Ministry of Heavy Industries,Other Central Sector Expenditure,3.0,category,18.58,43.96,62.54,81.33,24.31,105.64,863.21,0.19,863.40,36.43,0.20,36.63
17,Statement 3,49,Ministry of Home Affairs,,,ministry_total,4021.47,214.22,4235.69,5472.44,428.87,5901.31,4575.13,545.65,5120.78,6072.97,385.27,6458.24
17,Statement 3,49,Ministry of Home Affairs,Central Sector Schemes/Projects,1.0,category,1240.68,89.82,1330.50,1362.61,141.73,1504.34,1562.58,105.00,1667.58,1552.28,157.13,1709.41
17,Statement 3,49,Ministry of Home Affairs,Centrally Sponsored Schemes,2.0,category,99.07,,99.07,110.00,,110.00,2.29,,2.29,10.87,,10.87
17,Statement 3,49,Ministry of Home Affairs,Establishment Expenditure of the Centre,3.0,category,2018.20,93.50,2111.70,2247.39,244.14,2491.53,2239.54,383.32,2622.86,2257.69,198.81,2456.50
17,Statement 3,49,Ministry of Home Affairs,Other Central Sector Expenditure,4.0,category,592.92,30.90,623.82,1685.13,43.00,1728.13,704.42,57.33,761.75,1584.12,29.33,1613.45
17,Statement 3,49,Ministry of Home Affairs,Other Grants/Loans/Transfers,5.0,category,70.60,,70.60,67.31,,67.31,66.30,,66.30,668.01,,668.01
18,Statement 3,50,Cabinet,,,ministry_total,961.13,94.78,1055.91,969.18,289.50,1258.68,1251.67,551.34,1803.01,1152.68,96.23,1248.91
