page,pdf_page,statement,demand_no,ministry_department,category_number,expenditure_category,actuals_2021_2022_revenue,actuals_2021_2022_capital,actuals_2021_2022_total,BE_2022_2023_revenue,BE_2022_2023_capital,BE_2022_2023_total,RE_2022_2023_revenue,RE_2022_2023_capital,RE_2022_2023_total,BE_2023_2024_revenue,BE_2023_2024_capital,BE_2023_2024_total
9,15,Statement 3,31,Department of Expenditure,2,Other Central Sector Expenditure,16.77,,16.77,18.07,,18.07,14.80,,14.80,15.10,,15.10
9,15,Statement 3,31,Department of Expenditure,,TOTAL,,,370.85,,,476.89,,,430.00,,,517.34
9,15,Statement 3,32,Department of Financial Services,,TOTAL / Ministry,7375.98,36634.00,44009.98,1102.70,4211.03,5313.73,1366.42,3536.00,4902.42,1112.35,212.29,1324.64
9,15,Statement 3,32,Department of Financial Services,1,Central Sector Schemes/Projects,7191.78,36634.00,43825.78,869.41,4211.03,5080.44,1121.28,3536.00,4657.28,824.59,200.05,1024.64
10,16,Statement 3,32,Department of Financial Services,,EXPENDITURE OF MINISTRIES AND DEPARTMENTS 2. Establishment Expenditure of the Centre,184.20,,184.20,233.29,,233.29,245.14,,245.14,287.76,12.24,300.00
10,16,Statement 3,32,Department of Financial Services,,TOTAL,,,44009.98,,,5313.73,,,4902.42,,,1324.64
10,16,Statement 3,33,Department of Public Enterprises,,TOTAL / Ministry,23.27,,23.27,30.00,,30.00,33.13,150.00,183.13,32.15,0.90,33.05
10,16,Statement 3,33,Department of Public Enterprises,1,Central Sector Schemes/Projects,6.79,,6.79,8.55,,8.55,8.02,,8.02,9.91,,9.91
10,16,Statement 3,33,Department of Public Enterprises,2,Establishment Expenditure of the Centre,16.48,,16.48,21.45,,21.45,25.11,150.00,175.11,22.24,0.90,23.14
10,16,Statement 3,33,Department of Public Enterprises,,TOTAL,,,23.27,,,30.00,,,183.13,,,33.05
10,16,Statement 3,34,Department of Investment and Public Asset Management,,(DIPAM),86.55,,86.55,290.42,,290.42,197.06,,197.06,93.46,1.46,94.92
10,16,Statement 3,34,Department of Investment and Public Asset Management,1,Establishment Expenditure of the Centre,86.55,,86.55,290.42,,290.42,197.06,,197.06,93.46,1.46,94.92
10,16,Statement 3,35,Department of Revenue,,TOTAL / Ministry,111859.20,3.66,111862.86,121226.99,4.30,121231.29,131192.43,34.30,131226.73,146227.84,119.84,146347.68
10,16,Statement 3,35,Department of Revenue,1,Establishment Expenditure of the Centre,789.70,,789.70,826.64,,826.64,831.97,,831.97,793.18,71.44,864.62
10,16,Statement 3,35,Department of Revenue,2,Other Central Sector Expenditure,274.03,3.66,277.69,400.32,4.30,404.62,360.46,34.30,394.76,434.63,48.40,483.03
10,16,Statement 3,35,Department of Revenue,3,Other Grants/Loans/Transfers,110795.47,,110795.47,120000.03,,120000.03,130000.00,,130000.00,145000.03,,145000.03
10,16,Statement 3,35,Department of Revenue,,TOTAL,,,111862.86,,,121231.29,,,131226.73,,,146347.68
10,16,Statement 3,36,Department of Revenue,,Direct Taxes,7478.69,215.26,7693.95,8866.80,440.00,9306.80,8759.43,669.72,9429.15,8282.87,1608.00,9890.87
10,16,Statement 3,36,Department of Revenue,1,Establishment Expenditure of the Centre,7478.69,213.56,7692.25,8866.80,440.00,9306.80,8759.43,669.72,9429.15,8282.87,558.00,8840.87
10,16,Statement 3,36,Department of Revenue,2,Other Central Sector Expenditure,,1.70,1.70,,,,,,,,1050.00,1050.00
10,16,Statement 3,36,Department of Revenue,,TOTAL,,,7693.95,,,9306.80,,,9429.15,,,9890.87
10,16,Statement 3,37,Department of Revenue,,Indirect Taxes,56907.40,679.29,57586.69,39738.67,1400.00,41138.67,35749.44,938.00,36687.44,36305.08,2205.00,38510.08
10,16,Statement 3,37,Department of Revenue,1,Central Sector Schemes/Projects,,,,,,,27109.72,,27109.72,27554.59,,27554.59
10,16,Statement 3,37,Department of Revenue,2,Establishment Expenditure of the Centre,56907.40,679.29,57586.69,39738.67,1400.00,41138.67,8639.72,938.00,9577.72,8750.49,2205.00,10955.49
10,16,Statement 3,37,Department of Revenue,,TOTAL,,,57586.69,,,41138.67,,,36687.44,,,38510.08
10,16,Statement 3,38,Department of Revenue,,Indian Audit and Accounts Department,5022.72,14.80,5037.52,5596.14,24.00,5620.14,5488.91,158.21,5647.12,5669.93,136.20,5806.13
10,16,Statement 3,38,Department of Revenue,1,Establishment Expenditure of the Centre,5022.72,14.80,5037.52,5596.14,24.00,5620.14,5488.91,158.21,5647.12,5669.93,136.20,5806.13
10,16,Statement 3,39,Department of Revenue,,Interest Payments,805499.15,,805499.15,940651.02,,940651.02,940651.02,,940651.02,1079971.00,,1079971.00
10,16,Statement 3,39,Department of Revenue,1,Other Central Sector Expenditure,805499.15,,805499.15,940651.02,,940651.02,940651.02,,940651.02,1079971.00,,1079971.00
11,17,Statement 3,40,Repayment of Debt,,TOTAL / Ministry,,,,,,,,,,,,
11,17,Statement 3,40,Repayment of Debt,1,Other Central Sector Expenditure,,,,,,,,,,,,
11,17,Statement 3,41,Pensions,,TOTAL / Ministry,64592.45,,64592.45,65840.81,,65840.81,67340.00,,67340.00,71701.00,,71701.00
11,17,Statement 3,41,Pensions,1,Establishment Expenditure of the Centre,64592.45,,64592.45,65840.81,,65840.81,67340.00,,67340.00,71701.00,,71701.00
11,17,Statement 3,42,Transfers to States,,TOTAL / Ministry,252046.02,22533.77,274579.79,222440.00,111899.42,334339.42,185524.20,85411.40,270935.60,187260.01,137381.40,324641.41
11,17,Statement 3,42,Transfers to States,1,Finance Commission Grants,207434.75,,207434.75,192108.00,,192108.00,173257.20,,173257.20,165480.00,,165480.00
11,17,Statement 3,42,Transfers to States,2,Other Grants/Loans/Transfers,44611.27,22533.77,67145.04,30332.00,111899.42,142231.42,12267.00,85411.40,97678.40,21780.01,137381.40,159161.41
11,17,Statement 3,42,Transfers to States,,TOTAL,,,274579.79,,,334339.42,,,270935.60,,,324641.41
11,17,Statement 3,43,Department of Fisheries,,TOTAL / Ministry,1347.44,11.17,1358.61,2093.90,24.57,2118.47,1617.13,7.05,1624.18,2228.37,20.40,2248.77
11,17,Statement 3,43,Department of Fisheries,1,Centrally Sponsored Schemes,1177.64,,1177.64,1891.00,,1891.00,1422.00,,1422.00,2025.00,,2025.00
11,17,Statement 3,43,Department of Fisheries,2,Establishment Expenditure of the Centre,147.80,11.17,158.97,179.50,24.57,204.07,177.53,7.05,184.58,179.17,20.40,199.57
11,17,Statement 3,43,Department of Fisheries,3,Other Central Sector Expenditure,22.00,,22.00,23.40,,23.40,17.60,,17.60,24.20,,24.20
11,17,Statement 3,43,Department of Fisheries,,TOTAL,,,1358.61,,,2118.47,,,1624.18,,,2248.77
11,17,Statement 3,44,Department of Animal Husbandry and Dairying,,TOTAL / Ministry,2582.26,2.21,2584.47,3862.80,56.04,3918.84,3082.05,23.12,3105.17,4289.09,38.76,4327.85
11,17,Statement 3,44,Department of Animal Husbandry and Dairying,1,Central Sector Schemes/Projects,1163.88,,1163.88,2315.00,,2315.00,1705.02,,1705.02,2689.71,,2689.71
11,17,Statement 3,44,Department of Animal Husbandry and Dairying,2,Centrally Sponsored Schemes,1273.73,,1273.73,1394.76,,1394.76,1200.00,,1200.00,1395.93,10.00,1405.93
11,17,Statement 3,44,Department of Animal Husbandry and Dairying,3,Establishment Expenditure of the Centre,143.69,2.21,145.90,170.92,24.92,195.84,155.54,23.12,178.66,170.54,17.86,188.40
11,17,Statement 3,44,Department of Animal Husbandry and Dairying,4,Other Central Sector Expenditure,0.96,,0.96,-17.88,31.12,13.24,21.49,,21.49,32.91,10.90,43.81
11,17,Statement 3,44,Department of Animal Husbandry and Dairying,,TOTAL,,,2584.47,,,3918.84,,,3105.17,,,4327.85
11,17,Statement 3,45,Ministry of Food Processing Industries,,TOTAL / Ministry,1146.40,,1146.40,2941.99,,2941.99,1901.59,,1901.59,3285.19,2.46,3287.65
11,17,Statement 3,45,Ministry of Food Processing Industries,1,Central Sector Schemes/Projects,722.76,,722.76,1922.00,,1922.00,1474.00,,1474.00,2453.04,0.20,2453.24
11,17,Statement 3,45,Ministry of Food Processing Industries,2,Centrally Sponsored Schemes,325.47,,325.47,900.00,,900.00,290.00,,290.00,638.55,0.50,639.05
11,17,Statement 3,45,Ministry of Food Processing Industries,3,Establishment Expenditure of the Centre,29.97,,29.97,40.18,,40.18,42.72,,42.72,125.28,1.76,127.04
11,17,Statement 3,45,Ministry of Food Processing Industries,4,Other Central Sector Expenditure,68.20,,68.20,79.81,,79.81,94.87,,94.87,68.32,,68.32
11,17,Statement 3,45,Ministry of Food Processing Industries,,TOTAL,,,1146.40,,,2941.99,,,1901.59,,,3287.65
11,17,Statement 3,46,Department of Health and Family Welfare,,TOTAL / Ministry,78651.54,3128.31,81779.85,77367.43,5632.57,83000.00,72788.26,3582.14,76370.40,80874.66,5300.34,86175.00
12,18,Statement 3,46,Department of Health and Family Welfare,,EXPENDITURE OF MINISTRIES AND DEPARTMENTS 1. Central Sector Schemes/Projects,12284.07,2813.37,15097.44,10315.63,4847.59,15163.22,9005.30,2863.33,11868.63,4868.49,3951.78,8820.27
12,18,Statement 3,46,Department of Health and Family Welfare,2,Centrally Sponsored Schemes,49299.19,-18.29,49280.90,47629.07,5.00,47634.07,41759.43,3.13,41762.56,46935.04,412.19,47347.23
12,18,Statement 3,46,Department of Health and Family Welfare,3,Establishment Expenditure of the Centre,5536.45,287.23,5823.68,6209.90,646.83,6856.73,6241.98,670.68,6912.66,6828.70,868.94,7697.64
12,18,Statement 3,46,Department of Health and Family Welfare,4,Other Central Sector Expenditure,11531.83,46.00,11577.83,13212.83,133.15,13345.98,15781.55,45.00,15826.55,22242.43,67.43,22309.86
12,18,Statement 3,46,Department of Health and Family Welfare,,TOTAL,,,81779.85,,,83000.00,,,76370.40,,,86175.00
12,18,Statement 3,47,Department of Health Research,,TOTAL / Ministry,2690.61,,2690.61,3200.65,,3200.65,2775.00,,2775.00,2979.20,0.80,2980.00
12,18,Statement 3,47,Department of Health Research,1,Central Sector Schemes/Projects,813.34,,813.34,954.65,,954.65,614.92,,614.92,566.42,,566.42
12,18,Statement 3,47,Department of Health Research,2,Establishment Expenditure of the Centre,35.91,,35.91,48.00,,48.00,43.35,,43.35,53.20,0.80,54.00
12,18,Statement 3,47,Department of Health Research,3,Other Central Sector Expenditure,1841.36,,1841.36,2198.00,,2198.00,2116.73,,2116.73,2359.58,,2359.58
12,18,Statement 3,47,Department of Health Research,,TOTAL,,,2690.61,,,3200.65,,,2775.00,,,2980.00
12,18,Statement 3,48,Ministry of Heavy Industries,,TOTAL / Ministry,1040.53,127.05,1167.58,3213.79,92.21,3306.00,3176.36,43.97,3220.33,6145.32,26.31,6171.63
12,18,Statement 3,48,Ministry of Heavy Industries,1,Central Sector Schemes/Projects,833.69,17.00,850.69,3119.53,23.62,3143.15,3114.08,,3114.08,6026.97,,6026.97
12,18,Statement 3,48,Ministry of Heavy Industries,2,Establishment Expenditure of the Centre,32.03,,32.03,32.93,,32.93,36.28,,36.28,37.02,2.00,39.02
12,18,Statement 3,48,Ministry of Heavy Industries,3,Other Central Sector Expenditure,174.81,110.05,284.86,61.33,68.59,129.92,26.00,43.97,69.97,81.33,24.31,105.64
12,18,Statement 3,48,Ministry of Heavy Industries,,TOTAL,,,1167.58,,,3306.00,,,3220.33,,,6171.63
12,18,Statement 3,49,Ministry of Home Affairs,,TOTAL / Ministry,4079.38,280.40,4359.78,7384.62,236.38,7621.00,4231.25,217.52,4448.77,5472.44,428.87,5901.31
12,18,Statement 3,49,Ministry of Home Affairs,1,Central Sector Schemes/Projects,1614.63,127.64,1742.27,1535.64,86.04,1621.68,1270.11,92.12,1362.23,1362.61,141.73,1504.34
12,18,Statement 3,49,Ministry of Home Affairs,2,Centrally Sponsored Schemes,,,,,,,165.60,,165.60,110.00,,110.00
12,18,Statement 3,49,Ministry of Home Affairs,3,Establishment Expenditure of the Centre,1851.71,99.76,1951.47,2017.31,107.34,2124.65,2038.81,94.40,2133.21,2247.39,244.14,2491.53
12,18,Statement 3,49,Ministry of Home Affairs,4,Other Central Sector Expenditure,561.55,53.00,614.55,3802.65,43.00,3845.65,685.13,31.00,716.13,1685.13,43.00,1728.13
12,18,Statement 3,49,Ministry of Home Affairs,5,Other Grants/Loans/Transfers,51.49,,51.49,29.02,,29.02,71.60,,71.60,67.31,,67.31
12,18,Statement 3,49,Ministry of Home Affairs,,TOTAL,,,4359.78,,,7621.00,,,4448.77,,,5901.31
12,18,Statement 3,50,Ministry of Home Affairs,,Cabinet,1306.13,12.66,1318.79,1202.22,508.82,1711.04,1176.51,176.35,1352.86,969.18,289.50,1258.68
12,18,Statement 3,50,Ministry of Home Affairs,1,Establishment Expenditure of the Centre,1306.13,12.66,1318.79,1202.22,508.82,1711.04,1176.51,176.35,1352.86,969.18,289.50,1258.68
12,18,Statement 3,51,Ministry of Home Affairs,,Police,99413.78,7208.60,106622.38,107187.99,10500.00,117687.99,110170.35,8900.01,119070.36,115946.87,11809.87,127756.74
12,18,Statement 3,51,Ministry of Home Affairs,1,Central Sector Schemes/Projects,612.15,5307.28,5919.43,2209.04,6767.55,8976.59,849.74,5833.03,6682.77,1889.27,7058.12,8947.39
13,19,Statement 3,51,Ministry of Home Affairs,,EXPENDITURE OF MINISTRIES AND DEPARTMENTS 2. Centrally Sponsored Schemes,3522.66,,3522.66,3319.88,,3319.88,2592.06,,2592.06,4350.00,,4350.00
13,19,Statement 3,51,Ministry of Home Affairs,3,Establishment Expenditure of the Centre,95025.61,1442.55,96468.16,100283.25,2403.25,102686.50,105506.40,1952.38,107458.78,108327.60,3750.75,112078.35
13,19,Statement 3,51,Ministry of Home Affairs,4,Other Central Sector Expenditure,1413.23,573.29,1986.52,1375.82,1329.20,2705.02,1222.15,1114.60,2336.75,1380.00,1001.00,2381.00
13,19,Statement 3,51,Ministry of Home Affairs,5,Other Grants/Loans/Transfers,-1159.87,-114.52,-1274.39,,,,,,,,,
13,19,Statement 3,51,Ministry of Home Affairs,,TOTAL,,,106622.38,,,117687.99,,,119070.36,,,127756.74
13,19,Statement 3,52,Andaman and Nicobar Islands,,TOTAL / Ministry,5297.76,419.85,5717.61,5116.43,587.22,5703.65,5028.05,480.00,5508.05,5481.96,505.18,5987.14
13,19,Statement 3,52,Andaman and Nicobar Islands,1,Establishment Expenditure of the Centre,2361.31,,2361.31,2502.20,,2502.20,2531.38,1.97,2533.35,2646.37,0.13,2646.50
13,19,Statement 3,52,Andaman and Nicobar Islands,2,Other Central Sector Expenditure,2936.45,419.85,3356.30,2614.23,587.22,3201.45,2496.67,478.03,2974.70,2835.59,505.05,3340.64
13,19,Statement 3,52,Andaman and Nicobar Islands,,TOTAL,,,5717.61,,,5703.65,,,5508.05,,,5987.14
13,19,Statement 3,53,Chandigarh,,TOTAL / Ministry,4067.77,365.31,4433.08,4427.46,419.33,4846.79,4778.65,352.47,5131.12,4834.07,602.03,5436.10
13,19,Statement 3,53,Chandigarh,1,Establishment Expenditure of the Centre,2370.28,,2370.28,2582.37,,2582.37,2967.21,,2967.21,2867.16,,2867.16
13,19,Statement 3,53,Chandigarh,2,Other Central Sector Expenditure,1697.49,365.31,2062.80,1845.09,419.33,2264.42,1811.44,352.47,2163.91,1966.91,602.03,2568.94
13,19,Statement 3,53,Chandigarh,,TOTAL,,,4433.08,,,4846.79,,,5131.12,,,5436.10
13,19,Statement 3,54,Dadra and Nagar Haveli  and Daman and Diu,,TOTAL / Ministry,1502.32,873.02,2375.34,1499.00,875.10,2374.10,1545.90,929.10,2475.00,1526.86,948.14,2475.00
13,19,Statement 3,54,Dadra and Nagar Haveli  and Daman and Diu,1,Establishment Expenditure of the Centre,651.88,,651.88,672.38,,672.38,672.38,,672.38,732.87,,732.87
13,19,Statement 3,54,Dadra and Nagar Haveli  and Daman and Diu,2,Other Central Sector Expenditure,850.44,873.02,1723.46,826.62,875.10,1701.72,873.52,929.10,1802.62,793.99,948.14,1742.13
13,19,Statement 3,54,Dadra and Nagar Haveli  and Daman and Diu,,TOTAL,,,2375.34,,,2374.10,,,2475.00,,,2475.00
13,19,Statement 3,55,Ladakh,,TOTAL / Ministry,3204.89,1855.58,5060.47,2553.29,3404.71,5958.00,2553.29,3404.71,5958.00,2808.08,3149.92,5958.00
13,19,Statement 3,55,Ladakh,1,Establishment Expenditure of the Centre,2781.84,,2781.84,1946.34,,1946.34,1615.11,,1615.11,1784.69,,1784.69
13,19,Statement 3,55,Ladakh,2,Other Central Sector Expenditure,423.05,1855.58,2278.63,606.95,3404.71,4011.66,938.18,3404.71,4342.89,1023.39,3149.92,4173.31
13,19,Statement 3,55,Ladakh,,TOTAL,,,5060.47,,,5958.00,,,5958.00,,,5958.00
13,19,Statement 3,56,Lakshadweep,,TOTAL / Ministry,1182.61,65.86,1248.47,1173.10,221.65,1394.75,1204.03,118.40,1322.43,1109.52,285.23,1394.75
13,19,Statement 3,56,Lakshadweep,1,Establishment Expenditure of the Centre,402.04,,402.04,444.60,,444.60,444.60,,444.60,427.82,,427.82
13,19,Statement 3,56,Lakshadweep,2,Other Central Sector Expenditure,780.57,65.86,846.43,728.50,221.65,950.15,759.43,118.40,877.83,681.70,285.23,966.93
13,19,Statement 3,56,Lakshadweep,,TOTAL,,,1248.47,,,1394.75,,,1322.43,,,1394.75
13,19,Statement 3,57,Transfers to Delhi,,TOTAL / Ministry,1029.43,,1029.43,1168.00,,1168.00,977.01,0.01,977.02,1168.00,0.01,1168.01
14,20,Statement 3,57,Transfers to Delhi,,EXPENDITURE OF MINISTRIES AND DEPARTMENTS 1. Other Grants/Loans/Transfers,1029.43,,1029.43,1168.00,,1168.00,977.01,0.01,977.02,1168.00,0.01,1168.01
14,20,Statement 3,58,Transfers to Jammu and Kashmir,,TOTAL / Ministry,34746.18,,34746.18,35581.44,,35581.44,44538.13,,44538.13,35581.44,,35581.44
14,20,Statement 3,58,Transfers to Jammu and Kashmir,1,Other Grants/Loans/Transfers,34746.18,,34746.18,35581.44,,35581.44,44538.13,,44538.13,35581.44,,35581.44
14,20,Statement 3,59,Transfers to Puducherry,,TOTAL / Ministry,1879.77,,1879.77,1729.78,0.01,1729.79,3129.78,0.01,3129.79,3117.76,0.01,3117.77
14,20,Statement 3,59,Transfers to Puducherry,1,Other Grants/Loans/Transfers,1879.77,,1879.77,1729.78,0.01,1729.79,3129.78,0.01,3129.79,3117.76,0.01,3117.77
14,20,Statement 3,60,Ministry of Housing and Urban Affairs,,TOTAL / Ministry,80894.44,25946.02,106840.46,49208.45,27341.01,76549.46,50864.75,23680.89,74545.64,50434.33,25997.27,76431.60
14,20,Statement 3,60,Ministry of Housing and Urban Affairs,1,Central Sector Schemes/Projects,2870.55,25896.90,28767.45,275.01,27226.01,27501.02,586.14,23624.89,24211.03,589.01,25855.95,26444.96
14,20,Statement 3,60,Ministry of Housing and Urban Affairs,2,Centrally Sponsored Schemes,76576.75,,76576.75,45300.00,,45300.00,46558.01,,46558.01,46103.04,,46103.04
14,20,Statement 3,60,Ministry of Housing and Urban Affairs,3,Establishment Expenditure of the Centre,1398.87,,1398.87,3570.03,,3570.03,3603.36,,3603.36,3626.45,9.65,3636.10
14,20,Statement 3,60,Ministry of Housing and Urban Affairs,4,Other Central Sector Expenditure,48.27,49.12,97.39,63.41,115.00,178.41,117.24,56.00,173.24,115.83,131.67,247.50
14,20,Statement 3,60,Ministry of Housing and Urban Affairs,,TOTAL,,,106840.46,,,76549.46,,,74545.64,,,76431.60
14,20,Statement 3,61,Ministry of Information and Broadcasting,,TOTAL / Ministry,3703.11,21.09,3724.20,3955.12,25.65,3980.77,4156.35,25.65,4182.00,4661.16,30.84,4692.00
14,20,Statement 3,61,Ministry of Information and Broadcasting,1,Central Sector Schemes/Projects,431.57,21.09,452.66,604.35,25.65,630.00,613.35,25.65,639.00,1079.24,25.76,1105.00
14,20,Statement 3,61,Ministry of Information and Broadcasting,2,Establishment Expenditure of the Centre,496.75,,496.75,582.87,,582.87,584.84,,584.84,530.42,5.08,535.50
14,20,Statement 3,61,Ministry of Information and Broadcasting,3,Other Central Sector Expenditure,2774.79,,2774.79,2767.90,,2767.90,2958.16,,2958.16,3051.50,,3051.50
14,20,Statement 3,61,Ministry of Information and Broadcasting,,TOTAL,,,3724.20,,,3980.77,,,4182.00,,,4692.00
14,20,Statement 3,62,"Department of Water Resources, River Development and Ganga",,Rejuvenation,17031.53,183.63,17215.16,18548.05,419.83,18967.88,13704.88,295.12,14000.00,19694.19,360.48,20054.67
14,20,Statement 3,62,"Department of Water Resources, River Development and Ganga",1,Central Sector Schemes/Projects,2669.77,169.48,2839.25,4826.88,393.98,5220.86,4108.04,267.09,4375.13,5937.75,320.36,6258.11
14,20,Statement 3,62,"Department of Water Resources, River Development and Ganga",2,Centrally Sponsored Schemes,13377.78,0.86,13378.64,12602.83,2.29,12605.12,8483.49,1.01,8484.50,12385.66,1.57,12387.23
14,20,Statement 3,62,"Department of Water Resources, River Development and Ganga",3,Establishment Expenditure of the Centre,983.98,13.29,997.27,1118.34,23.56,1141.90,1113.35,27.02,1140.37,1370.78,38.55,1409.33
14,20,Statement 3,62,"Department of Water Resources, River Development and Ganga",,TOTAL,,,17215.16,,,18967.88,,,14000.00,,,20054.67
14,20,Statement 3,63,Department of Drinking Water and Sanitation,,TOTAL / Ministry,66251.69,,66251.69,67221.12,,67221.12,60029.12,,60029.12,77221.80,1.20,77223.00
14,20,Statement 3,63,Department of Drinking Water and Sanitation,1,Centrally Sponsored Schemes,66224.26,,66224.26,67192.00,,67192.00,60000.00,,60000.00,77192.00,,77192.00
14,20,Statement 3,63,Department of Drinking Water and Sanitation,2,Establishment Expenditure of the Centre,27.43,,27.43,29.12,,29.12,29.12,,29.12,29.80,1.20,31.00
14,20,Statement 3,63,Department of Drinking Water and Sanitation,,TOTAL,,,66251.69,,,67221.12,,,60029.12,,,77223.00
15,21,Statement 3,64,EXPENDITURE OF MINISTRIES AND DEPARTMENTS,,TOTAL / Ministry,24010.58,23.33,24033.91,16846.37,47.31,16893.68,16070.34,47.31,16117.65,13183.86,37.87,13221.73
15,21,Statement 3,64,Ministry of Labour and Employment,1,Central Sector Schemes/Projects,23164.64,0.35,23164.99,16084.10,,16084.10,15293.07,,15293.07,12434.32,0.50,12434.82
15,21,Statement 3,64,Ministry of Labour and Employment,2,Centrally Sponsored Schemes,229.38,0.08,229.46,74.90,0.10,75.00,64.90,0.10,65.00,,,
15,21,Statement 3,64,Ministry of Labour and Employment,3,Establishment Expenditure of the Centre,497.33,22.90,520.23,571.97,47.21,619.18,596.97,47.21,644.18,622.54,37.37,659.91
15,21,Statement 3,64,Ministry of Labour and Employment,4,Other Central Sector Expenditure,119.23,,119.23,115.40,,115.40,115.40,,115.40,127.00,,127.00
15,21,Statement 3,64,Ministry of Labour and Employment,,TOTAL,,,24033.91,,,16893.68,,,16117.65,,,13221.73
15,21,Statement 3,65,Ministry of Labour and Employment,,Law and Justice,2909.68,1119.62,4029.30,1778.48,1615.00,3393.48,1797.46,1521.00,3318.46,2030.65,1944.78,3975.43
15,21,Statement 3,65,Ministry of Labour and Employment,1,Central Sector Schemes/Projects,138.25,,138.25,41.00,,41.00,48.16,,48.16,40.01,,40.01
15,21,Statement 3,65,Ministry of Labour and Employment,2,Centrally Sponsored Schemes,692.60,,692.60,858.00,,858.00,858.00,,858.00,1061.00,,1061.00
15,21,Statement 3,65,Ministry of Labour and Employment,3,Establishment Expenditure of the Centre,295.47,,295.47,365.98,115.00,480.98,356.96,21.00,377.96,384.14,78.00,462.14
15,21,Statement 3,65,Ministry of Labour and Employment,4,Other Central Sector Expenditure,178.75,,178.75,196.50,,196.50,217.34,,217.34,228.50,,228.50
15,21,Statement 3,65,Ministry of Labour and Employment,5,Other Grants/Loans/Transfers,1604.61,1119.62,2724.23,317.00,1500.00,1817.00,317.00,1500.00,1817.00,317.00,1866.78,2183.78
15,21,Statement 3,65,Ministry of Labour and Employment,,TOTAL,,,4029.30,,,3393.48,,,3318.46,,,3975.43
15,21,Statement 3,66,Election Commission,,TOTAL / Ministry,248.18,2.50,250.68,253.00,7.00,260.00,320.24,7.00,327.24,312.00,28.00,340.00
15,21,Statement 3,66,Election Commission,1,Establishment Expenditure of the Centre,251.43,2.50,253.93,253.00,7.00,260.00,320.24,7.00,327.24,312.00,28.00,340.00
15,21,Statement 3,66,Election Commission,2,Other Central Sector Expenditure,-3.25,,-3.25,,,,,,,,,
15,21,Statement 3,66,Election Commission,,TOTAL,,,250.68,,,260.00,,,327.24,,,340.00
15,21,Statement 3,67,Election Commission,,Supreme Court of India,341.41,,341.41,401.46,,401.46,405.47,,405.47,407.15,30.00,437.15
15,21,Statement 3,67,Election Commission,1,Establishment Expenditure of the Centre,341.41,,341.41,401.46,,401.46,405.47,,405.47,407.15,30.00,437.15
15,21,Statement 3,68,"Ministry of Micro, Small and Medium Enterprises",,TOTAL / Ministry,14787.45,192.56,14980.01,20916.00,506.00,21422.00,15171.31,457.40,15628.71,21543.43,594.52,22137.95
15,21,Statement 3,68,"Ministry of Micro, Small and Medium Enterprises",1,Central Sector Schemes/Projects,14914.58,192.56,15107.14,20851.85,506.00,21357.85,15108.57,457.40,15565.97,21277.55,575.00,21852.55
15,21,Statement 3,68,"Ministry of Micro, Small and Medium Enterprises",2,Establishment Expenditure of the Centre,53.32,,53.32,64.15,,64.15,62.74,,62.74,245.88,19.52,265.40
15,21,Statement 3,68,"Ministry of Micro, Small and Medium Enterprises",3,Other Central Sector Expenditure,-180.45,,-180.45,,,,,,,20.00,,20.00
15,21,Statement 3,68,"Ministry of Micro, Small and Medium Enterprises",,TOTAL,,,14980.01,,,21422.00,,,15628.71,,,22137.95
15,21,Statement 3,69,Ministry of Mines,,TOTAL / Ministry,4184.69,52.84,4237.53,1446.79,61.21,1508.00,1628.76,61.19,1689.95,1834.48,77.12,1911.60
15,21,Statement 3,69,Ministry of Mines,1,Establishment Expenditure of the Centre,896.41,,896.41,853.02,,853.02,895.85,,895.85,927.01,,927.01
15,21,Statement 3,69,Ministry of Mines,2,Other Central Sector Expenditure,3288.28,52.84,3341.12,593.77,61.21,654.98,732.91,61.19,794.10,907.47,77.12,984.59
16,22,Statement 3,69,Ministry of Mines,,EXPENDITURE OF MINISTRIES AND DEPARTMENTS Total:,,,4237.53,,,1508.00,,,1689.95,,,1911.60
16,22,Statement 3,70,Ministry of Minority Affairs,,TOTAL / Ministry,4223.63,100.00,4323.63,4861.50,159.00,5020.50,2453.66,159.00,2612.66,3032.60,65.00,3097.60
16,22,Statement 3,70,Ministry of Minority Affairs,1,Central Sector Schemes/Projects,2678.47,100.00,2778.47,2915.91,159.00,3074.91,1802.49,159.00,1961.49,2275.50,61.00,2336.50
16,22,Statement 3,70,Ministry of Minority Affairs,2,Centrally Sponsored Schemes,1428.40,,1428.40,1810.00,,1810.00,530.00,,530.00,610.00,,610.00
16,22,Statement 3,70,Ministry of Minority Affairs,3,Establishment Expenditure of the Centre,32.68,,32.68,120.03,,120.03,105.61,,105.61,128.00,4.00,132.00
16,22,Statement 3,70,Ministry of Minority Affairs,4,Other Central Sector Expenditure,84.08,,84.08,15.56,,15.56,15.56,,15.56,19.10,,19.10
16,22,Statement 3,70,Ministry of Minority Affairs,,TOTAL,,,4323.63,,,5020.50,,,2612.66,,,3097.60
16,22,Statement 3,71,Ministry of New and Renewable Energy,,TOTAL / Ministry,4006.97,2575.98,6582.95,6888.94,11.74,6900.68,7019.26,13.74,7033.00,10210.35,11.65,10222.00
16,22,Statement 3,71,Ministry of New and Renewable Energy,1,Central Sector Schemes/Projects,4143.46,,4143.46,6787.93,,6787.93,6820.25,,6820.25,9874.81,,9874.81
