page,pdf_page,statement,demand_no,ministry_department,category_number,expenditure_category,actuals_2021_2022_revenue,actuals_2021_2022_capital,actuals_2021_2022_total,BE_2022_2023_revenue,BE_2022_2023_capital,BE_2022_2023_total,RE_2022_2023_revenue,RE_2022_2023_capital,RE_2022_2023_total,BE_2023_2024_revenue,BE_2023_2024_capital,BE_2023_2024_total
5,11,Statement 3,6,Department of Fertilisers,3,Other Central Sector Expenditure,-67.11,81.56,14.45,0.11,0.05,0.16,0.05,,0.05,0.11,0.05,0.16
5,11,Statement 3,6,Department of Fertilisers,,TOTAL,,,153805.99,,,105262.23,,,225261.62,,,175148.48
5,11,Statement 3,7,Department of Pharmaceuticals,,TOTAL / Ministry,629.74,145.09,774.83,2238.85,5.30,2244.15,2263.24,5.30,2268.54,3158.87,1.19,3160.06
5,11,Statement 3,7,Department of Pharmaceuticals,1,Central Sector Schemes/Projects,578.39,,578.39,2157.50,,2157.50,2180.05,,2180.05,3120.00,,3120.00
5,11,Statement 3,7,Department of Pharmaceuticals,2,Establishment Expenditure of the Centre,29.45,,29.45,36.35,,36.35,36.39,,36.39,38.87,1.13,40.00
5,11,Statement 3,7,Department of Pharmaceuticals,3,Other Central Sector Expenditure,22.00,145.09,167.09,45.00,5.30,50.30,46.80,5.30,52.10,,0.06,0.06
5,11,Statement 3,7,Department of Pharmaceuticals,4,Other Grants/Loans/Transfers,-0.10,,-0.10,,,,,,,,,
5,11,Statement 3,7,Department of Pharmaceuticals,,TOTAL,,,774.83,,,2244.15,,,2268.54,,,3160.06
5,11,Statement 3,8,Ministry of Civil Aviation,,TOTAL / Ministry,4991.14,66927.00,71918.14,10590.54,76.46,10667.00,9277.24,86.46,9363.70,3026.70,86.66,3113.36
5,11,Statement 3,8,Ministry of Civil Aviation,1,Central Sector Schemes/Projects,2488.16,,2488.16,9899.95,,9899.95,8358.14,,8358.14,1277.09,,1277.09
5,11,Statement 3,8,Ministry of Civil Aviation,2,Establishment Expenditure of the Centre,339.16,61.60,400.76,512.57,76.45,589.02,481.04,86.45,567.49,555.10,86.66,641.76
5,11,Statement 3,8,Ministry of Civil Aviation,3,Other Central Sector Expenditure,2163.82,66865.40,69029.22,178.02,0.01,178.03,438.06,0.01,438.07,1194.51,,1194.51
5,11,Statement 3,8,Ministry of Civil Aviation,,TOTAL,,,71918.14,,,10667.00,,,9363.70,,,3113.36
5,11,Statement 3,9,Ministry of Coal,,TOTAL / Ministry,573.68,,573.68,393.24,,393.24,117.88,,117.88,190.77,1.55,192.32
5,11,Statement 3,9,Ministry of Coal,1,Central Sector Schemes/Projects,496.08,,496.08,314.54,,314.54,62.89,,62.89,113.50,,113.50
5,11,Statement 3,9,Ministry of Coal,2,Establishment Expenditure of the Centre,47.99,,47.99,65.74,,65.74,54.42,,54.42,66.63,1.55,68.18
5,11,Statement 3,9,Ministry of Coal,3,Other Central Sector Expenditure,29.61,,29.61,12.96,,12.96,0.57,,0.57,10.64,,10.64
5,11,Statement 3,9,Ministry of Coal,,TOTAL,,,573.68,,,393.24,,,117.88,,,192.32
