page,pdf_page,statement,ministry_department,expenditure_category,category_number,actuals_2020_2021_revenue,actuals_2020_2021_capital,actuals_2020_2021_total,BE_2021_2022_revenue,BE_2021_2022_capital,BE_2021_2022_total,RE_2021_2022_revenue,RE_2021_2022_capital,RE_2021_2022_total,BE_2022_2023_revenue,BE_2022_2023_capital,BE_2022_2023_total
7,11,Statement 3,Ministry of Coal,Total Ministry/Department,,571.64,,571.64,534.88,,534.88,644.09,,644.09,393.24,,393.24
7,11,Statement 3,Ministry of Coal,Central Sector Schemes/Projects,1,504.35,,504.35,419.98,,419.98,552.03,,552.03,314.54,,314.54
7,11,Statement 3,Ministry of Coal,Establishment Expenditure of the Centre,2,44.94,,44.94,61.7,,61.7,62.45,,62.45,65.74,,65.74
7,11,Statement 3,Ministry of Coal,Other Central Sector Expenditure,3,22.35,,22.35,53.2,,53.2,29.61,,29.61,12.96,,12.96
7,11,Statement 3,Department of Commerce,Total Ministry/Department,,2735.03,420.94,3155.97,4699.01,287.0,4986.01,6554.0,867.0,7421.0,5673.0,400.0,6073.0
7,11,Statement 3,Department of Commerce,Central Sector Schemes/Projects,1,3356.97,390.0,3746.97,3887.02,260.0,4147.02,5806.93,840.0,6646.93,4809.4,400.0,5209.4
7,11,Statement 3,Department of Commerce,Establishment Expenditure of the Centre,2,734.45,37.0,771.45,741.65,27.0,768.65,728.93,27.0,755.93,805.87,,805.87
7,11,Statement 3,Department of Commerce,Other Central Sector Expenditure,3,-1356.39,-6.06,-1362.45,70.34,,70.34,18.14,,18.14,57.73,,57.73
7,11,Statement 3,Department for Promotion of Industry and Internal Trade,Total Ministry/Department,,6731.19,797.35,7528.54,6570.66,1211.58,7782.24,6696.42,1685.58,8382.0,7048.0,1300.0,8348.0
7,11,Statement 3,Department for Promotion of Industry and Internal Trade,Central Sector Schemes/Projects,1,6256.94,777.4,7034.34,5960.44,1201.58,7162.02,6092.22,1675.58,7767.8,6406.89,1283.5,7690.39
7,11,Statement 3,Department for Promotion of Industry and Internal Trade,Establishment Expenditure of the Centre,2,374.33,19.95,394.28,415.82,10.0,425.82,423.98,10.0,433.98,435.5,16.5,452.0
7,11,Statement 3,Department for Promotion of Industry and Internal Trade,Other Central Sector Expenditure,3,99.92,,99.92,194.4,,194.4,180.22,,180.22,205.61,,205.61
7,11,Statement 3,Department of Posts,Total Ministry/Department,,17695.3,897.42,18592.72,15618.13,910.09,16528.22,18034.54,932.33,18966.87,19931.4,888.62,20820.02
7,11,Statement 3,Department of Posts,Central Sector Schemes/Projects,1,379.95,886.26,1266.21,358.88,895.09,1253.97,322.64,914.33,1236.97,384.88,870.62,1255.5
7,11,Statement 3,Department of Posts,Establishment Expenditure of the Centre,2,17315.35,11.16,17326.51,15259.25,15.0,15274.25,17711.9,18.0,17729.9,19546.52,18.0,19564.52
7,11,Statement 3,Department of Telecommunications,Total Ministry/Department,,37954.09,4356.11,42310.2,32803.44,25933.56,58737.0,30080.04,5470.17,35550.21,30436.38,54150.42,84586.8
7,11,Statement 3,Department of Telecommunications,Central Sector Schemes/Projects,1,7258.66,4138.11,11396.77,9098.02,5333.56,14431.58,8371.75,5245.17,13616.92,2611.18,9066.82,11678.0
7,11,Statement 3,Department of Telecommunications,Establishment Expenditure of the Centre,2,15702.69,113.0,15815.69,16262.5,110.0,16372.5,17364.72,145.0,17509.72,20042.92,163.6,20206.52
7,11,Statement 3,Department of Telecommunications,Other Central Sector Expenditure,3,14992.74,105.0,15097.74,7442.92,20490.0,27932.92,4343.57,80.0,4423.57,7782.28,44920.0,52702.28
7,11,Statement 3,Department of Consumer Affairs,Total Ministry/Department,,11332.1,33.37,11365.47,2928.05,46.05,2974.1,2434.23,19.41,2453.64,1705.03,19.85,1724.88
